Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SAMN03295423	100.0	0.15	Neural Network (Specific Model)	11	0.876	123018	304.2911237785016	5110050	0.51	4912	185	316312	None
SAMN03295424	100.0	0.66	Neural Network (Specific Model)	11	0.879	294436	312.9638214904679	4921531	0.51	4616	80	589454	None
SAMN03295426	100.0	0.49	Neural Network (Specific Model)	11	0.875	121733	297.24795918367346	4987472	0.51	4900	184	313577	None
SAMN03295428	100.0	0.15	Neural Network (Specific Model)	11	0.878	175761	306.9682870853328	5015981	0.51	4793	136	695298	None
SAMN03295429	100.0	0.19	Neural Network (Specific Model)	11	0.877	201511	311.5319193616128	5064821	0.51	4762	95	653404	None
SAMN03295432	100.0	0.48	Neural Network (Specific Model)	11	0.883	349325	314.4627126035761	4892962	0.51	4586	58	970412	None
SAMN03295433	100.0	0.64	Neural Network (Specific Model)	11	0.869	173976	299.5510522213562	5295073	0.51	5132	238	524135	None
SAMN03295437	100.0	0.27	Neural Network (Specific Model)	11	0.872	99700	303.6363636363636	5000164	0.51	4796	173	241178	None
SAMN03295442	100.0	0.97	Neural Network (Specific Model)	11	0.878	109227	303.4446055083868	4999950	0.5	4829	141	343431	None
SAMN03295444	100.0	0.82	Neural Network (Specific Model)	11	0.882	401578	312.7892795138889	4894444	0.51	4608	64	958367	None
SAMN03295445	100.0	0.09	Neural Network (Specific Model)	11	0.876	98965	302.703489572579	5010892	0.51	4843	153	254377	None
SAMN03455846	100.0	0.06	Neural Network (Specific Model)	11	0.883	97285	302.9009921036647	5074738	0.51	4939	185	325272	None
SAMN03455849	100.0	0.14	Neural Network (Specific Model)	11	0.886	192404	316.8824719101124	4769312	0.51	4450	57	702021	None
SAMN03702810	100.0	0.11	Neural Network (Specific Model)	11	0.876	41529	293.25279642058166	5375800	0.51	5364	441	136494	None
SAMN04160753	100.0	0.08	Neural Network (Specific Model)	11	0.869	55310	291.2382505275273	5231283	0.51	5213	418	264252	None
SAMN04191537	100.0	0.26	Neural Network (Specific Model)	11	0.88	92750	314.52987454816076	5036398	0.51	4703	177	318244	None
SAMN04191546	100.0	0.06	Neural Network (Specific Model)	11	0.875	5478683	302.994324631101	5478683	0.5	5286	1	5478683	None
SAMN04191549	100.0	0.08	Neural Network (Specific Model)	11	0.873	65112	288.7745675049046	5551005	0.5	5607	392	205846	None
SAMN04191550	100.0	0.07	Neural Network (Specific Model)	11	0.874	105355	289.1224888888889	5572902	0.5	5625	327	460725	None
SAMN04191555	100.0	0.08	Neural Network (Specific Model)	11	0.875	42303	291.9704285981658	5335671	0.51	5343	456	138186	None
SAMN04191556	100.0	0.09	Neural Network (Specific Model)	11	0.874	87660	292.7813486903214	5396287	0.5	5383	373	241347	None
SAMN04191561	100.0	0.11	Neural Network (Specific Model)	11	0.876	44732	291.93865030674846	5369527	0.51	5379	457	146934	None
SAMN04293279	100.0	0.2	Neural Network (Specific Model)	11	0.877	117827	309.1340947546531	4991844	0.51	4728	159	325958	None
SAMN04293311	100.0	0.06	Neural Network (Specific Model)	11	0.881	118897	309.51880977683317	4952645	0.51	4705	174	490202	None
SAMN04293313	100.0	0.08	Neural Network (Specific Model)	11	0.877	151305	307.83622722400855	4905475	0.51	4665	147	453795	None
SAMN04293317	100.0	0.08	Neural Network (Specific Model)	11	0.882	119228	312.9940906106369	4853889	0.51	4569	123	460213	None
SAMN04293336	100.0	0.01	Neural Network (Specific Model)	11	0.884	129094	304.481608040201	5131014	0.51	4975	256	333368	None
SAMN04293337	100.0	0.15	Neural Network (Specific Model)	11	0.879	108692	309.5706626635213	4919795	0.51	4663	137	288815	None
SAMN04293343	100.0	0.15	Neural Network (Specific Model)	11	0.877	133530	303.06343737332793	5104726	0.51	4934	254	257418	None
SAMN04293348	100.0	0.79	Neural Network (Specific Model)	11	0.881	176036	308.2838357272911	5179884	0.5	4943	139	430311	None
SAMN04293350	100.0	0.13	Neural Network (Specific Model)	11	0.88	125585	310.47083956419567	4947821	0.5	4681	121	462140	None
SAMN04293376	100.0	0.06	Neural Network (Specific Model)	11	0.882	142400	312.61794242356615	4755099	0.51	4481	124	388600	None
SAMN04293378	100.0	0.49	Neural Network (Specific Model)	11	0.863	71191	290.1276901004304	5613156	0.5	5576	321	209461	None
SAMN04293415	100.0	0.11	Neural Network (Specific Model)	11	0.887	222112	314.69494544644846	4773068	0.51	4491	76	801446	None
SAMN04293421	100.0	0.12	Neural Network (Specific Model)	11	0.879	130012	308.8530211164541	5030830	0.51	4783	139	326277	None
SAMN04293429	100.0	0.17	Neural Network (Specific Model)	11	0.879	119061	296.79808978032474	5293908	0.51	5235	253	354044	None
SAMN04293434	100.0	0.12	Neural Network (Specific Model)	11	0.877	192630	309.9757837837838	4898876	0.51	4625	99	430527	None
SAMN04335042	100.0	0.08	Neural Network (Specific Model)	11	0.875	87647	292.757722366952	5385964	0.5	5374	352	202329	None
SAMN04338474	100.0	0.29	Neural Network (Specific Model)	11	0.875	74855	289.9779147406266	5793888	0.51	5841	286	233663	None
SAMN04338475	100.0	0.28	Neural Network (Specific Model)	11	0.874	102555	288.68355721816016	5813900	0.51	5881	305	250540	None
SAMN04338476	100.0	0.34	Neural Network (Specific Model)	11	0.875	80141	290.5034507166873	5618771	0.51	5651	307	176829	None
SAMN04338495	100.0	0.26	Neural Network (Specific Model)	11	0.875	88656	289.51089211618256	5728126	0.5	5784	336	251145	None
SAMN04396077	100.0	0.03	Neural Network (Specific Model)	11	0.883	221703	308.4165257819104	4951251	0.51	4732	118	430701	None
SAMN04422322	100.0	0.08	Neural Network (Specific Model)	11	0.874	126658	294.44678103670907	5466258	0.5	5421	238	614775	None
SAMN04422352	100.0	0.29	Neural Network (Specific Model)	11	0.876	117991	282.2757835755559	5510911	0.51	5711	397	255074	None
SAMN04422378	100.0	0.05	Neural Network (Specific Model)	11	0.876	111208	295.1585976627713	5440506	0.5	5391	270	330496	None
SAMN04422382	100.0	0.06	Neural Network (Specific Model)	11	0.874	117225	288.84753363228697	5516465	0.5	5575	396	299640	None
SAMN04422386	100.0	0.06	Neural Network (Specific Model)	11	0.875	147588	292.30654000730726	5474291	0.5	5474	301	409077	None
SAMN04422389	100.0	0.06	Neural Network (Specific Model)	11	0.875	136147	291.5939603420047	5485838	0.5	5497	320	611702	None
SAMN04422390	100.0	0.06	Neural Network (Specific Model)	11	0.875	147715	292.52828467153284	5487995	0.5	5480	300	355351	None
SAMN04422406	100.0	0.05	Neural Network (Specific Model)	11	0.876	149715	295.19169447534296	5443704	0.5	5394	264	392368	None
SAMN04422423	100.0	0.05	Neural Network (Specific Model)	11	0.876	150227	295.7383872166481	5441387	0.5	5382	242	614214	None
SAMN04510378	100.0	0.05	Neural Network (Specific Model)	11	0.876	107224	293.7408091631258	5437697	0.5	5413	309	288792	None
SAMN04510388	100.0	0.08	Neural Network (Specific Model)	11	0.876	135837	294.68947564150244	5417801	0.5	5378	282	409856	None
SAMN04510394	100.0	0.06	Neural Network (Specific Model)	11	0.876	100825	293.84255319148934	5430660	0.5	5405	315	355194	None
SAMN04510412	100.0	0.11	Neural Network (Specific Model)	11	0.876	106936	289.56938483547924	5536352	0.5	5592	333	244560	None
SAMN04510419	100.0	0.06	Neural Network (Specific Model)	11	0.876	146929	294.08707709373266	5437769	0.5	5409	281	409856	None
SAMN04510561	100.0	0.1	Neural Network (Specific Model)	11	0.883	289209	310.71130887779464	4854445	0.51	4607	106	633473	None
SAMN04902866	100.0	0.06	Neural Network (Specific Model)	11	0.881	74255	311.4612377850163	4878053	0.51	4605	178	254062	None
SAMN05163867	100.0	0.52	Neural Network (Specific Model)	11	0.887	664475	321.7095426561126	4942558	0.51	4548	45	914647	None
SAMN05232928	100.0	0.07	Neural Network (Specific Model)	11	0.873	91435	302.9920201595968	4949542	0.51	4762	256	269341	None
SAMN05326678	100.0	0.01	Neural Network (Specific Model)	11	0.878	28822	288.9673300788584	5245639	0.51	5326	594	109455	None
SAMN05326696	100.0	0.17	Neural Network (Specific Model)	11	0.88	66749	308.41638655462185	4995086	0.51	4760	213	174201	None
SAMN05326699	100.0	0.15	Neural Network (Specific Model)	11	0.871	43161	289.4937343358396	5160568	0.51	5187	421	174493	None
SAMN05439482	99.99	0.15	Neural Network (Specific Model)	11	0.882	44918	303.65983012222915	4978765	0.51	4827	229	201373	None
SAMN05439496	100.0	0.23	Neural Network (Specific Model)	11	0.88	70348	300.8261547456636	5253631	0.51	5131	209	202080	None
SAMN05439504	100.0	0.12	Neural Network (Specific Model)	11	0.883	41693	304.8247854301863	4939636	0.51	4777	245	151827	None
SAMN05439505	100.0	0.05	Neural Network (Specific Model)	11	0.885	63479	313.42860345214075	4733273	0.51	4461	157	179519	None
SAMN05439510	100.0	0.09	Neural Network (Specific Model)	11	0.883	56754	308.6575230296827	5114362	0.51	4885	273	155214	None
SAMN05439515	100.0	0.41	Neural Network (Specific Model)	11	0.878	97889	310.5549828178694	4929552	0.51	4656	163	244450	None
SAMN05439517	100.0	0.08	Neural Network (Specific Model)	11	0.879	62942	310.46434426229507	5159733	0.51	4880	233	210800	None
SAMN05440249	100.0	0.29	Neural Network (Specific Model)	11	0.878	130728	308.56042991884186	4799247	0.51	4559	93	267800	None
SAMN05595979	100.0	0.18	Neural Network (Specific Model)	11	0.885	222890	315.76508081038014	4692048	0.51	4393	79	618027	None
SAMN05596176	100.0	0.14	Neural Network (Specific Model)	11	0.878	210439	299.58662790697673	5270521	0.51	5160	187	384821	None
SAMN05596210	100.0	0.14	Neural Network (Specific Model)	11	0.883	113524	307.1071279699875	4998529	0.5	4798	152	270288	None
SAMN05596392	100.0	0.07	Neural Network (Specific Model)	11	0.883	168782	309.67688378033205	4935655	0.51	4698	118	384723	None
SAMN05596471	100.0	0.17	Neural Network (Specific Model)	11	0.877	112592	304.41251203079884	5400777	0.51	5195	211	389835	None
SAMN05596564	100.0	0.14	Neural Network (Specific Model)	11	0.886	141605	316.64857990674017	5053101	0.51	4718	138	403538	None
SAMN05597016	100.0	0.08	Neural Network (Specific Model)	11	0.878	133544	310.65645607317595	4980776	0.51	4701	191	370456	None
SAMN05605371	100.0	0.09	Neural Network (Specific Model)	11	0.879	146977	305.271283095723	5107989	0.51	4910	207	558360	None
SAMN05605376	100.0	0.09	Neural Network (Specific Model)	11	0.873	52592	297.2684714024018	5007641	0.51	4913	336	159412	None
SAMN05605381	100.0	0.21	Neural Network (Specific Model)	11	0.874	56274	288.2297322598764	5273329	0.5	5341	351	165009	None
SAMN05605393	100.0	0.09	Neural Network (Specific Model)	11	0.879	146781	305.60481239804244	5105326	0.51	4904	180	558480	None
SAMN05655883	100.0	0.11	Neural Network (Specific Model)	11	0.883	151818	311.63435722411833	4647173	0.51	4395	91	374664	None
SAMN05757745	100.0	0.08	Neural Network (Specific Model)	11	0.882	231317	309.2280041797283	5026915	0.51	4785	109	738877	None
SAMN05789719	100.0	0.1	Neural Network (Specific Model)	11	0.873	101376	303.0516894609815	5165514	0.51	4972	236	319571	None
SAMN05859962	100.0	0.39	Neural Network (Specific Model)	11	0.873	112035	288.88310722913957	5329679	0.5	5381	334	271403	None
SAMN06005817	100.0	0.07	Neural Network (Specific Model)	11	0.874	106683	290.59819952232226	5418688	0.5	5443	386	281291	None
SAMN06005834	100.0	0.07	Neural Network (Specific Model)	11	0.875	148786	288.7243543758967	5510099	0.5	5576	380	613910	None
SAMN06005841	100.0	0.08	Neural Network (Specific Model)	11	0.875	142537	292.9206231454006	5406452	0.5	5392	365	460502	None
SAMN06005854	100.0	0.04	Neural Network (Specific Model)	11	0.876	77602	292.23884514435696	5329610	0.5	5334	418	256936	None
SAMN06005855	100.0	0.03	Neural Network (Specific Model)	11	0.874	135812	289.5190222385591	5393698	0.5	5441	368	433895	None
SAMN06005869	100.0	0.02	Neural Network (Specific Model)	11	0.875	95538	289.1975858867224	5331256	0.5	5385	408	355315	None
SAMN06005871	100.0	0.05	Neural Network (Specific Model)	11	0.874	121295	285.53480841878036	5438855	0.5	5559	472	362108	None
