target_genome	Collection_Date	Latitude	Longitude	Generic_Host	Source_Niche	Source_Type	PhG	ST	CC	Number_Inc	Acq_Resist	Year	n_contigs_genome	n_hits_genome	median_pid_genome	median_cov_genome	mean_n_hits.blast	n_hits_genome_category	bakta.n_hits_genome	has_tra_hit	n.multihit.genes	bakta.n_distinct_hits	bakta.n_hits_genome_category	is.functional	n.distinct.func.genes	n.func.genes	is.functional.noreg	n.distinct.func.genes.noreg	n.func.genes.noreg	n.distinct.MPF_GENES	has_mandatory	has_relaxase	is.functional.coluzzi.3	is.functional.coluzzi.6	is.functional.coluzzi.12	mob_classification_coluzzi	mob_classification	functional_category	n_MPF_types	n_relaxase_types	n_virb4_types	n_t4cp_types	MOBC.n_genes	MOBF.n_genes	MOBH.n_genes	MOBP1.n_genes	virb4.n_genes	MPF_F.n_genes	MPF_I.n_genes	MPF_T.n_genes	MOBQ.n_genes	MPF_G.n_genes	MOBV.n_genes	MOBC.n_distinct_genes	MOBF.n_distinct_genes	MOBH.n_distinct_genes	MOBP1.n_distinct_genes	virb4.n_distinct_genes	MPF_F.n_distinct_genes	MPF_I.n_distinct_genes	MPF_T.n_distinct_genes	MOBQ.n_distinct_genes	MPF_G.n_distinct_genes	MOBV.n_distinct_genes	n.nonF_relaxase_types	n.nonF_MPF_types	n.replicons	n.incF.replicons	has.incF_replicon
SAMN03295423	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	10	ST10 Cplx	5	Yes	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	2	1	1	0	NA	NA	NA	3	2	NA	15	11	NA	NA	NA	NA	NA	NA	1	1	NA	15	7	NA	NA	NA	1	2	3	0	FALSE
SAMN03295421	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B1	3580	NA	3	Yes	2014	1	36	98.4245	100	1	[30,40)	32	1	0	32	[23,36)	FALSE	21	21	FALSE	19	19	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	incomplete	1	1	1	0	NA	2	NA	NA	1	12	NA	NA	NA	NA	NA	NA	1	NA	NA	1	10	NA	NA	NA	NA	NA	0	0	3	2	TRUE
SAMN02442866	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	345	NA	7	Yes	2013	1	5	99.425	100	0.138888888888889	[5,30)	7	1	1	6	[5,23)	FALSE	3	4	FALSE	3	4	1	FALSE	1	FALSE	FALSE	FALSE	mob	mob	missing	3	2	1	0	NA	1	NA	1	1	1	15	5	NA	NA	NA	NA	1	NA	1	1	1	15	5	NA	NA	NA	1	2	6	2	TRUE
SAMN02442867	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	744	ST10 Cplx	4	Yes	2013	1	36	98.522	100	1	[30,40)	32	1	0	32	[23,36)	FALSE	21	21	FALSE	19	19	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	incomplete	2	2	1	0	NA	1	NA	1	1	12	11	NA	NA	NA	NA	NA	1	NA	1	1	10	11	NA	NA	NA	NA	1	1	4	2	TRUE
SAMN02442824	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	F	1319	NA	5	Yes	2013	1	35	99.038	100	0.972222222222222	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	1	1	12	15	NA	NA	NA	NA	NA	1	NA	1	1	10	15	NA	NA	NA	NA	1	1	6	3	TRUE
SAMN02442809	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	22	70	98.9145	99.767	1.94444444444444	[40,110]	52	1	21	31	[36,84]	FALSE	20	33	FALSE	17	29	10	TRUE	1	TRUE	TRUE	FALSE	conj	mob	incomplete	1	2	1	0	NA	2	1	NA	3	30	NA	NA	NA	NA	NA	NA	1	1	NA	1	12	NA	NA	NA	NA	NA	1	0	6	4	TRUE
SAMN02442827	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	1638	ST10 Cplx	6	Yes	2013	1	34	98.8405	100	0.944444444444444	[30,40)	32	1	0	32	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	3	2	1	0	NA	1	NA	3	1	11	15	3	NA	NA	NA	NA	1	NA	1	1	10	15	3	NA	NA	NA	1	2	6	2	TRUE
SAMN02442816	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	522	ST522 Cplx	2	Yes	2013	1	36	99.1865	100	1	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	2	1	0	NA	1	NA	1	1	10	NA	NA	NA	NA	NA	NA	1	NA	1	1	10	NA	NA	NA	NA	NA	1	0	2	2	TRUE
SAMN02442811	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	23	64	98.858	98.8125	1.77777777777778	[40,110]	43	1	13	30	[36,84]	FALSE	21	33	FALSE	18	28	10	TRUE	1	TRUE	TRUE	FALSE	conj	mob	incomplete	1	1	1	0	NA	3	NA	NA	3	20	NA	NA	NA	NA	NA	NA	1	NA	NA	1	11	NA	NA	NA	NA	NA	0	0	10	3	TRUE
SAMN02442826	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	1638	ST10 Cplx	6	Yes	2013	1	34	98.8405	100	0.944444444444444	[30,40)	32	1	0	32	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	3	2	1	0	NA	1	NA	3	1	11	15	3	NA	NA	NA	NA	1	NA	1	1	10	15	3	NA	NA	NA	1	2	6	2	TRUE
SAMN02442810	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	401	NA	3	No	2013	2	24	68.7185	98.9825	0.666666666666667	[5,30)	27	1	0	27	[23,36)	FALSE	22	22	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	incomplete	2	2	1	0	NA	1	NA	1	1	11	NA	3	NA	NA	NA	NA	1	NA	1	1	11	NA	2	NA	NA	NA	1	1	2	2	TRUE
SAMN02442812	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	5250	NA	5	Yes	2013	1	34	98.855	100	0.944444444444444	[30,40)	32	1	0	32	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	1	1	11	NA	1	NA	NA	NA	NA	1	NA	1	1	10	NA	1	NA	NA	NA	1	1	6	1	TRUE
SAMN02442813	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	C	23	ST23 Cplx	9	Yes	2013	7	44	98.7075	100	1.22222222222222	[40,110]	37	1	8	29	[36,84]	FALSE	21	26	FALSE	18	20	11	TRUE	1	TRUE	TRUE	FALSE	conj	mob	incomplete	3	2	1	0	NA	1	NA	3	4	13	15	14	NA	NA	NA	NA	1	NA	1	1	11	15	7	NA	NA	NA	1	2	7	3	TRUE
SAMN02442848	2013-01-01	35.2	-111.5	Poultry	Food	Turkey	B1	345	NA	4	Yes	2013	1	35	98.936	100	0.972222222222222	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	3	2	1	0	NA	1	NA	1	1	11	15	1	NA	NA	NA	NA	1	NA	1	1	10	15	1	NA	NA	NA	1	2	4	2	TRUE
SAMN02442840	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	4	Yes	2013	2	35	98.864	100	0.972222222222222	[30,40)	36	1	2	34	[36,84]	TRUE	23	25	TRUE	20	22	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	1	1	0	NA	1	NA	NA	2	10	NA	1	NA	NA	NA	NA	1	NA	NA	1	10	NA	1	NA	NA	NA	0	1	4	3	TRUE
SAMN02442847	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	2491	ST10 Cplx	1	Yes	2013	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	1	1	0	NA	NA	NA	1	1	NA	NA	6	NA	NA	NA	NA	NA	NA	1	1	NA	NA	6	NA	NA	NA	1	1	1	0	FALSE
SAMN02442844	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	540	NA	5	Yes	2013	1	34	98.855	100	0.944444444444444	[30,40)	32	1	0	32	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	1	1	0	NA	1	NA	NA	2	11	NA	6	NA	NA	NA	NA	1	NA	NA	1	10	NA	6	NA	NA	NA	0	1	3	1	TRUE
SAMN02442843	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	B1	448	ST448 Cplx	3	Yes	2013	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	0	1	0	NA	NA	NA	NA	1	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	6	NA	NA	NA	0	1	4	0	FALSE
SAMN02442836	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	5666	NA	3	Yes	2013	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	2	3	1	0	1	NA	1	1	1	3	NA	4	NA	NA	NA	1	NA	1	1	1	3	NA	3	NA	NA	NA	3	1	3	1	TRUE
SAMN02442835	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	540	NA	2	Yes	2013	1	34	98.987	100	0.944444444444444	[30,40)	31	1	0	31	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	1	1	0	NA	1	NA	NA	1	10	NA	1	NA	NA	NA	NA	1	NA	NA	1	10	NA	1	NA	NA	NA	0	1	3	3	TRUE
SAMN02442846	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	2491	ST10 Cplx	1	Yes	2013	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	1	1	0	NA	NA	NA	1	1	NA	NA	6	NA	NA	NA	NA	NA	NA	1	1	NA	NA	6	NA	NA	NA	1	1	1	0	FALSE
SAMN02442837	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	2491	ST10 Cplx	1	Yes	2013	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	1	1	0	NA	NA	NA	1	1	NA	NA	6	NA	NA	NA	NA	NA	NA	1	1	NA	NA	6	NA	NA	NA	1	1	1	0	FALSE
SAMN02442841	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	10	ST10 Cplx	2	Yes	2013	1	33	98.936	100	0.916666666666667	[30,40)	32	1	0	32	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	2	1	0	NA	1	NA	1	1	10	NA	NA	NA	NA	NA	NA	1	NA	1	1	10	NA	NA	NA	NA	NA	1	0	2	1	TRUE
SAMN02442860	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	A	10	ST10 Cplx	6	Yes	2013	1	30	98.83	100	0.833333333333333	[30,40)	27	1	0	27	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	3	2	1	0	NA	1	NA	1	2	11	15	7	NA	NA	NA	NA	1	NA	1	1	10	15	7	NA	NA	NA	1	2	9	1	TRUE
SAMN02442852	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	9	Yes	2013	1	35	98.864	100	0.972222222222222	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	3	2	1	0	NA	1	NA	2	3	12	15	12	NA	NA	NA	NA	1	NA	1	1	10	15	8	NA	NA	NA	1	2	45	3	TRUE
SAMN02442851	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	C	88	ST23 Cplx	6	Yes	2013	1	35	98.936	100	0.972222222222222	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	3	1	0	NA	1	NA	1	2	12	NA	7	1	NA	NA	NA	1	NA	1	1	10	NA	6	1	NA	NA	2	1	23	2	TRUE
SAMN02442850	2013-01-01	35.2	-111.5	Poultry	Food	Turkey	A	3889	ST206 Cplx	7	Yes	2013	2	30	98.8445	100	0.833333333333333	[30,40)	27	1	0	27	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	3	1	0	NA	1	NA	2	2	12	NA	6	1	NA	NA	NA	1	NA	1	1	10	NA	6	1	NA	NA	2	1	8	1	TRUE
SAMN02442865	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	A	540	NA	6	Yes	2013	1	36	99.1005	100	1	[30,40)	33	1	0	33	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	1	NA	3	21	NA	8	NA	NA	NA	NA	1	1	NA	1	11	NA	7	NA	NA	NA	1	1	10	3	TRUE
SAMN02442863	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	F	457	NA	6	Yes	2013	1	1	100	49.462	0.0277777777777778	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	2	1	1	0	NA	NA	NA	1	1	NA	15	5	NA	NA	NA	NA	NA	NA	1	1	NA	15	5	NA	NA	NA	1	2	5	2	TRUE
SAMN02442858	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	C	369	ST23 Cplx	2	Yes	2013	1	19	98.936	100	0.527777777777778	[5,30)	19	1	0	19	[5,23)	FALSE	13	13	FALSE	10	10	5	FALSE	1	FALSE	FALSE	FALSE	pdconj	mob	incomplete	2	1	0	0	NA	1	NA	NA	NA	6	NA	1	NA	NA	NA	NA	1	NA	NA	NA	5	NA	1	NA	NA	NA	0	1	2	2	TRUE
SAMN02442854	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	2	Yes	2013	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	0	0	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0	0	6	0	FALSE
SAMN02442807	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	19	68	98.9145	100	1.88888888888889	[40,110]	52	1	20	32	[36,84]	FALSE	21	33	FALSE	18	30	10	TRUE	1	TRUE	TRUE	FALSE	conj	mob	incomplete	1	2	1	0	NA	2	1	NA	3	30	NA	NA	NA	NA	NA	NA	1	1	NA	1	12	NA	NA	NA	NA	NA	1	0	6	4	TRUE
SAMN02442773	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	34	ST10 Cplx	4	Yes	2013	3	35	98.936	100	0.972222222222222	[30,40)	31	1	0	31	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	1	1	0	NA	1	NA	NA	1	10	NA	1	NA	NA	NA	NA	1	NA	NA	1	10	NA	1	NA	NA	NA	0	1	5	3	TRUE
SAMN02442800	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	48	ST10 Cplx	3	Yes	2013	1	34	98.8405	100	0.944444444444444	[30,40)	32	1	0	32	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	2	2	11	NA	7	NA	NA	NA	NA	1	NA	1	1	10	NA	6	NA	NA	NA	1	1	2	1	TRUE
SAMN02442780	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	3	Yes	2013	1	35	98.936	100	0.972222222222222	[30,40)	35	1	0	35	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	1	1	11	15	NA	NA	NA	NA	NA	1	NA	1	1	10	15	NA	NA	NA	NA	1	1	3	2	TRUE
SAMN02442808	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	522	ST522 Cplx	2	Yes	2013	1	36	99.1865	100	1	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	2	1	0	NA	1	NA	2	1	10	NA	NA	NA	NA	NA	NA	1	NA	1	1	10	NA	NA	NA	NA	NA	1	0	2	2	TRUE
SAMN02442801	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	48	ST10 Cplx	3	Yes	2013	1	34	98.8405	100	0.944444444444444	[30,40)	32	1	0	32	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	2	2	11	NA	7	NA	NA	NA	NA	1	NA	1	1	10	NA	6	NA	NA	NA	1	1	2	1	TRUE
SAMN02442769	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	14	55	98.864	100	1.52777777777778	[40,110]	41	1	10	31	[36,84]	FALSE	22	29	FALSE	19	23	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	incomplete	3	4	1	0	1	1	1	1	4	27	15	10	NA	NA	NA	1	1	1	1	1	12	15	6	NA	NA	NA	3	2	10	5	TRUE
SAMN02442830	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	2	No	2013	1	35	98.936	100	0.972222222222222	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	1	1	0	NA	1	NA	NA	1	11	NA	NA	NA	NA	NA	NA	1	NA	NA	1	10	NA	NA	NA	NA	NA	0	0	2	2	TRUE
SAMN02442768	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	14	56	98.854	100	1.55555555555556	[40,110]	41	1	10	31	[36,84]	FALSE	22	29	FALSE	19	23	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	incomplete	3	4	1	0	1	1	1	1	5	27	15	10	NA	NA	NA	1	1	1	1	1	12	15	6	NA	NA	NA	3	2	10	5	TRUE
SAMN02442783	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	3	Yes	2013	1	35	98.936	100	0.972222222222222	[30,40)	35	1	0	35	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	1	1	11	15	NA	NA	NA	NA	NA	1	NA	1	1	10	15	NA	NA	NA	NA	1	1	3	2	TRUE
