target_genome	target	n_hits_contig	median_pid	median_cov	contig_seq_len	Collection_Date	Latitude	Longitude	Generic_Host	Source_Niche	Source_Type	PhG	ST	CC	Number_Inc	Acq_Resist	Year	genome_contig
16	SAMN02442769	contig_117	6	98.6205	77.4135	2605	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_117
17	SAMN02442769	contig_126	2	97.092	97.671	1480	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_126
18	SAMN02442769	contig_138	2	97.6235	99.395	2447	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_138
19	SAMN02442769	contig_163	2	98.872	69.7715	1493	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_163
20	SAMN02442769	contig_166	4	98.969	100	3808	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_166
21	SAMN02442769	contig_180	1	100	37.267	542	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_180
22	SAMN02442769	contig_193	4	98.668	100	8589	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_193
23	SAMN02442769	contig_29	15	99.095	100	13155	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_29
24	SAMN02442769	contig_41	2	91.4285	54.8305	2342	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_41
25	SAMN02442769	contig_57	3	99.425	58.98	2315	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_57
26	SAMN02442769	contig_67	4	99.296	100	3662	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_67
27	SAMN02442769	contig_85	3	95.192	100	1314	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_85
28	SAMN02442769	contig_96	2	98.67	69.7715	1493	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_96
29	SAMN02442771	contig_100	4	99.146	92.3495	8725	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_100
30	SAMN02442771	contig_109	2	97.6235	99.395	2447	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_109
31	SAMN02442771	contig_114	4	99.296	100	3662	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_114
32	SAMN02442771	contig_142	3	95.192	100	1314	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_142
33	SAMN02442771	contig_148	4	98.969	100	2347	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_148
34	SAMN02442771	contig_169	5	98.864	100	2080	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_169
35	SAMN02442771	contig_182	6	99.267	77.4135	2605	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_182
36	SAMN02442771	contig_185	2	98.872	69.7715	1493	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_185
37	SAMN02442771	contig_188	3	99.425	58.98	2315	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_188
38	SAMN02442771	contig_203	2	98.67	69.7715	1493	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_203
39	SAMN02442771	contig_22	15	99.095	100	13155	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_22
40	SAMN02442771	contig_35	2	91.4285	54.8305	2342	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_35
41	SAMN02442771	contig_53	2	97.092	97.671	1480	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_53
42	SAMN02442771	contig_81	1	100	37.267	542	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442771_contig_81
43	SAMN02442772	contig_108	2	98.872	69.7715	1493	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_108
44	SAMN02442772	contig_116	2	91.4285	54.8305	2342	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_116
45	SAMN02442772	contig_124	4	99.296	100	3662	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_124
46	SAMN02442772	contig_130	16	99.0155	100	13155	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_130
47	SAMN02442772	contig_136	6	98.8245	77.4135	2605	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_136
48	SAMN02442772	contig_141	5	98.864	100	2080	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_141
49	SAMN02442772	contig_149	3	95.192	100	1314	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_149
50	SAMN02442772	contig_153	1	100	37.267	542	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_153
51	SAMN02442772	contig_185	3	99.425	58.98	2315	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_185
52	SAMN02442772	contig_40	4	98.668	100	8589	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_40
53	SAMN02442772	contig_41	2	98.67	69.7715	1493	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_41
54	SAMN02442772	contig_51	2	97.6235	99.395	2447	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_51
55	SAMN02442772	contig_53	4	98.969	100	2315	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_53
56	SAMN02442772	contig_64	2	97.092	97.671	1480	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	SAMN02442772_contig_64
57	SAMN02442773	contig_113	29	99.038	100	26770	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	34	ST10 Cplx	4	Yes	2013	SAMN02442773_contig_113
58	SAMN02442773	contig_25	5	98.547	100	13487	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	34	ST10 Cplx	4	Yes	2013	SAMN02442773_contig_25
59	SAMN02442773	contig_86	1	52.778	49.315	16470	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	34	ST10 Cplx	4	Yes	2013	SAMN02442773_contig_86
60	SAMN02442775	contig_142	29	99.038	100	26770	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	34	ST10 Cplx	4	Yes	2013	SAMN02442775_contig_142
61	SAMN02442775	contig_168	1	52.778	49.315	16470	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	34	ST10 Cplx	4	Yes	2013	SAMN02442775_contig_168
62	SAMN02442775	contig_46	5	98.547	100	13487	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	34	ST10 Cplx	4	Yes	2013	SAMN02442775_contig_46
63	SAMN02442780	contig_81	35	98.936	100	62873	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	3	Yes	2013	SAMN02442780_contig_81
64	SAMN02442781	contig_121	35	98.936	100	62873	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	3	Yes	2013	SAMN02442781_contig_121
65	SAMN02442783	contig_19	35	98.936	100	62873	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	3	Yes	2013	SAMN02442783_contig_19
66	SAMN02442784	contig_40	35	98.936	100	62864	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	3	Yes	2013	SAMN02442784_contig_40
67	SAMN02442786	contig_35	35	98.936	100	62873	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	3	Yes	2013	SAMN02442786_contig_35
68	SAMN02442788	contig_110	36	98.3695	100	46592	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	1582	NA	3	Yes	2013	SAMN02442788_contig_110
69	SAMN02442789	contig_127	32	99.305	100	52097	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	A	5625	ST10 Cplx	6	Yes	2013	SAMN02442789_contig_127
70	SAMN02442791	contig_47	35	98.936	100	63616	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	D	1914	NA	8	Yes	2013	SAMN02442791_contig_47
71	SAMN02442792	contig_98	34	98.8405	100	36814	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	D	973	NA	5	Yes	2013	SAMN02442792_contig_98
72	SAMN02442795	contig_14	2	94.369	100	80169	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	2320	NA	4	Yes	2013	SAMN02442795_contig_14
73	SAMN02442795	contig_15	32	99.077	100	61182	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	2320	NA	4	Yes	2013	SAMN02442795_contig_15
74	SAMN02442796	contig_8	36	98.3695	100	46592	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	1582	NA	3	Yes	2013	SAMN02442796_contig_8
75	SAMN02442800	contig_52	34	98.8405	100	48315	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	48	ST10 Cplx	3	Yes	2013	SAMN02442800_contig_52
76	SAMN02442801	contig_31	34	98.8405	100	77479	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	48	ST10 Cplx	3	Yes	2013	SAMN02442801_contig_31
77	SAMN02442806	contig_85	34	98.8405	100	39143	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	48	ST10 Cplx	3	Yes	2013	SAMN02442806_contig_85
78	SAMN02442807	contig_100	3	89.344	100	1227	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_100
79	SAMN02442807	contig_110	2	99.719	64.105	591	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_110
80	SAMN02442807	contig_114	1	99.08	37.172	1093	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_114
81	SAMN02442807	contig_119	5	97.951	100	16606	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_119
82	SAMN02442807	contig_136	12	99.12	100	9011	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_136
83	SAMN02442807	contig_158	12	98.801	100	9033	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_158
84	SAMN02442807	contig_162	1	99.512	43.158	618	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_162
85	SAMN02442807	contig_167	1	99.691	37.029	1093	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_167
86	SAMN02442807	contig_174	1	99.415	56.811	1178	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_174
87	SAMN02442807	contig_188	1	98.537	43.158	618	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_188
88	SAMN02442807	contig_24	2	98.5905	90.351	940	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_24
89	SAMN02442807	contig_26	5	98.387	100	3895	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_26
90	SAMN02442807	contig_28	1	99.31	61.053	879	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_28
91	SAMN02442807	contig_36	4	97.829	100	17917	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_36
92	SAMN02442807	contig_46	8	99.423	100	5688	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_46
93	SAMN02442807	contig_54	1	98	96.154	720	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_54
94	SAMN02442807	contig_69	2	98.729	68.5325	1610	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_69
95	SAMN02442807	contig_83	2	98.16	66.0895	1094	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_83
96	SAMN02442807	contig_99	4	99.432	83.456	1370	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442807_contig_99
97	SAMN02442808	contig_123	36	99.1865	100	63412	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	522	ST522 Cplx	2	Yes	2013	SAMN02442808_contig_123
98	SAMN02442809	contig_1	1	98	96.154	720	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_1
99	SAMN02442809	contig_103	4	97.829	100	17917	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_103
100	SAMN02442809	contig_11	1	99.691	37.029	1093	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_11
101	SAMN02442809	contig_117	2	98.5905	90.351	940	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_117
102	SAMN02442809	contig_124	4	99.432	83.456	1370	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_124
103	SAMN02442809	contig_127	12	99.12	100	9011	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_127
104	SAMN02442809	contig_133	2	99.719	64.105	591	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_133
105	SAMN02442809	contig_136	1	98.537	43.158	618	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_136
106	SAMN02442809	contig_140	12	98.801	100	9033	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_140
107	SAMN02442809	contig_144	1	99.415	56.811	1178	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_144
108	SAMN02442809	contig_15	1	99.31	61.053	879	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_15
109	SAMN02442809	contig_153	5	97.951	100	16606	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_153
110	SAMN02442809	contig_165	8	99.092	100	5815	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_165
111	SAMN02442809	contig_171	1	100	72.926	699	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_171
112	SAMN02442809	contig_180	1	97.605	72.926	699	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_180
113	SAMN02442809	contig_42	2	98.729	68.5325	1610	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_42
114	SAMN02442809	contig_57	1	99.08	37.172	1093	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_57
115	SAMN02442809	contig_73	3	89.344	100	1227	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_73
116	SAMN02442809	contig_76	2	98.16	66.0895	1094	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_76
117	SAMN02442809	contig_78	2	98.729	68.5325	1610	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_78
118	SAMN02442809	contig_88	3	99	96.154	1948	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_88
119	SAMN02442809	contig_9	1	99.512	43.158	618	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	SAMN02442809_contig_9
120	SAMN02442810	contig_191	1	96.059	100	19910	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	401	NA	3	No	2013	SAMN02442810_contig_191
121	SAMN02442810	contig_47	23	68.687	98.795	69224	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	401	NA	3	No	2013	SAMN02442810_contig_47
122	SAMN02442811	contig_1	1	100	67.3	533	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_1
123	SAMN02442811	contig_109	1	94.565	97.872	559	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_109
124	SAMN02442811	contig_110	1	99.424	73.053	1044	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_110
125	SAMN02442811	contig_113	3	99.125	67	1760	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_113
126	SAMN02442811	contig_118	2	100	82.449	2417	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_118
127	SAMN02442811	contig_123	3	98.734	65.486	2228	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_123
128	SAMN02442811	contig_124	4	98.7115	100	4313	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_124
129	SAMN02442811	contig_130	2	98.347	73.2775	536	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_130
130	SAMN02442811	contig_134	11	98.039	100	6364	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_134
131	SAMN02442811	contig_17	4	99.624	100	3575	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_17
132	SAMN02442811	contig_22	4	98.855	100	3399	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_22
133	SAMN02442811	contig_37	3	100	65.486	2228	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_37
134	SAMN02442811	contig_39	3	98.03	99.753	69305	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_39
135	SAMN02442811	contig_42	2	99.377	86.432	1494	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_42
136	SAMN02442811	contig_44	2	91.255	74.2985	3440	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_44
137	SAMN02442811	contig_45	4	99.033	95.304	1678	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_45
138	SAMN02442811	contig_50	1	94.257	39.191	1277	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_50
139	SAMN02442811	contig_67	1	99.712	73.053	1044	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_67
140	SAMN02442811	contig_74	4	99.519	100	3283	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_74
141	SAMN02442811	contig_76	3	96.059	99.753	14121	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_76
142	SAMN02442811	contig_83	1	98.729	32.915	711	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_83
143	SAMN02442811	contig_96	3	99.425	58.98	2315	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_96
144	SAMN02442811	contig_99	1	100	38.682	1095	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	SAMN02442811_contig_99
145	SAMN02442812	contig_101	34	98.855	100	77692	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	5250	NA	5	Yes	2013	SAMN02442812_contig_101
146	SAMN02442813	contig_113	6	99.0665	98.7655	4517	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	C	23	ST23 Cplx	9	Yes	2013	SAMN02442813_contig_113
147	SAMN02442813	contig_12	1	92.118	96.209	7493	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	C	23	ST23 Cplx	9	Yes	2013	SAMN02442813_contig_12
148	SAMN02442813	contig_141	4	99.4055	100	2390	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	C	23	ST23 Cplx	9	Yes	2013	SAMN02442813_contig_141
149	SAMN02442813	contig_18	4	99.011	100	19325	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	C	23	ST23 Cplx	9	Yes	2013	SAMN02442813_contig_18
150	SAMN02442813	contig_23	1	97.044	100	4736	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	C	23	ST23 Cplx	9	Yes	2013	SAMN02442813_contig_23
151	SAMN02442813	contig_26	6	98.709	100	3393	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	C	23	ST23 Cplx	9	Yes	2013	SAMN02442813_contig_26
152	SAMN02442813	contig_49	22	98.628	100	27751	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	C	23	ST23 Cplx	9	Yes	2013	SAMN02442813_contig_49
153	SAMN02442816	contig_186	36	99.1865	100	55058	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	522	ST522 Cplx	2	Yes	2013	SAMN02442816_contig_186
