target_genome	Collection_Date	Latitude	Longitude	Generic_Host	Source_Niche	Source_Type	PhG	ST	CC	Number_Inc	Acq_Resist	Year	n_contigs_genome	n_hits_genome	median_pid_genome	median_cov_genome
18	SAMN02442866	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	345	NA	7	Yes	2013	1	5	99.425	100
19	SAMN02442867	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	744	ST10 Cplx	4	Yes	2013	1	36	98.522	100
20	SAMN02442824	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	F	1319	NA	5	Yes	2013	1	35	99.038	100
21	SAMN02442809	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	22	70	98.9145	99.767
22	SAMN02442827	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	1638	ST10 Cplx	6	Yes	2013	1	34	98.8405	100
23	SAMN02442816	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	522	ST522 Cplx	2	Yes	2013	1	36	99.1865	100
24	SAMN02442811	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	4	Yes	2013	23	64	98.858	98.8125
25	SAMN02442826	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	1638	ST10 Cplx	6	Yes	2013	1	34	98.8405	100
26	SAMN02442810	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	401	NA	3	No	2013	2	24	68.7185	98.9825
27	SAMN02442812	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	5250	NA	5	Yes	2013	1	34	98.855	100
28	SAMN02442813	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	C	23	ST23 Cplx	9	Yes	2013	7	44	98.7075	100
29	SAMN02442848	2013-01-01	35.2	-111.5	Poultry	Food	Turkey	B1	345	NA	4	Yes	2013	1	35	98.936	100
30	SAMN02442840	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	4	Yes	2013	2	35	98.864	100
31	SAMN02442847	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	2491	ST10 Cplx	1	Yes	2013	0	0	0	0
32	SAMN02442844	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	540	NA	5	Yes	2013	1	34	98.855	100
33	SAMN02442843	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	B1	448	ST448 Cplx	3	Yes	2013	0	0	0	0
34	SAMN02442836	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	5666	NA	3	Yes	2013	0	0	0	0
35	SAMN02442835	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	540	NA	2	Yes	2013	1	34	98.987	100
36	SAMN02442846	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	2491	ST10 Cplx	1	Yes	2013	0	0	0	0
37	SAMN02442837	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	2491	ST10 Cplx	1	Yes	2013	0	0	0	0
38	SAMN02442841	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	10	ST10 Cplx	2	Yes	2013	1	33	98.936	100
39	SAMN02442860	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	A	10	ST10 Cplx	6	Yes	2013	1	30	98.83	100
40	SAMN02442852	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	9	Yes	2013	2	38	98.611	100
41	SAMN02442851	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	C	88	ST23 Cplx	6	Yes	2013	1	35	98.936	100
42	SAMN02442850	2013-01-01	35.2	-111.5	Poultry	Food	Turkey	A	3889	ST206 Cplx	7	Yes	2013	3	33	98.901	100
43	SAMN02442865	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	A	540	NA	6	Yes	2013	1	36	99.1005	100
44	SAMN02442863	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	F	457	NA	6	Yes	2013	1	1	100	49.462
45	SAMN02442858	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	C	369	ST23 Cplx	2	Yes	2013	1	19	98.936	100
46	SAMN02442854	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	B2	131	ST131 Cplx	2	Yes	2013	0	0	0	0
47	SAMN02442807	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	B1	1049	ST155 Cplx	7	Yes	2013	19	68	98.9145	100
48	SAMN02442773	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	34	ST10 Cplx	4	Yes	2013	3	35	98.936	100
49	SAMN02442800	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	48	ST10 Cplx	3	Yes	2013	1	34	98.8405	100
50	SAMN02442780	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	3	Yes	2013	1	35	98.936	100
51	SAMN02442808	2013-05-01	35.2	-111.5	Poultry	Food	Turkey	A	522	ST522 Cplx	2	Yes	2013	1	36	99.1865	100
52	SAMN02442801	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	48	ST10 Cplx	3	Yes	2013	1	34	98.8405	100
53	SAMN02442769	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	14	55	98.864	100
54	SAMN02442830	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	2	No	2013	1	35	98.936	100
55	SAMN02442768	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	14	56	98.854	100
56	SAMN02442783	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	3	Yes	2013	1	35	98.936	100
57	SAMN02442789	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	A	5625	ST10 Cplx	6	Yes	2013	1	32	99.305	100
58	SAMN02442771	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	14	55	98.901	100
59	SAMN02442797	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	2524	NA	2	Yes	2013	0	0	0	0
60	SAMN02442775	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	A	34	ST10 Cplx	4	Yes	2013	3	35	98.936	100
61	SAMN02442806	2013-04-01	35.2	-111.5	Poultry	Food	Turkey	A	48	ST10 Cplx	3	Yes	2013	1	34	98.8405	100
62	SAMN02442781	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	3	Yes	2013	1	35	98.936	100
63	SAMN02442772	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	7	Yes	2013	14	56	98.854	100
64	SAMN02442791	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	D	1914	NA	8	Yes	2013	1	35	98.936	100
65	SAMN02442788	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	1582	NA	3	Yes	2013	1	36	98.3695	100
66	SAMN02442831	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	D	501	NA	0	No	2013	0	0	0	0
67	SAMN02442796	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	1582	NA	3	Yes	2013	1	36	98.3695	100
68	SAMN02442795	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	2320	NA	4	Yes	2013	2	34	98.9825	100
69	SAMN02442786	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	3	Yes	2013	1	35	98.936	100
70	SAMN02442792	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	D	973	NA	5	Yes	2013	1	34	98.8405	100
71	SAMN02442784	2013-03-01	35.2	-111.5	Poultry	Food	Turkey	B1	58	ST155 Cplx	3	Yes	2013	1	35	98.936	100
72	SAMN02628588	2013-07-01	35.20105	-91.8318334	Poultry	Food	Chicken	B1	58	ST155 Cplx	4	Yes	2013	1	32	99.502	100
73	SAMN02628695	2013-07-01	32.3182314	-86.902298	Poultry	Food	Chicken	A	399	ST399 Cplx	3	No	2013	0	0	0	0
74	SAMN02628696	2013-07-01	39.5500507	-105.7820674	Poultry	Food	Chicken	A	10	ST10 Cplx	2	Yes	2013	1	33	98.497	100
75	SAMN02628686	2013-07-01	45.253783	-69.4454689	Poultry	Food	Chicken	B1	5521	NA	2	No	2013	1	33	98.626	100
76	SAMN02628685	2013-07-01	41.2033216	-77.1945247	Poultry	Food	Chicken	A	399	ST399 Cplx	5	No	2013	0	0	0	0
77	SAMN02628690	2013-07-01	32.3182314	-86.902298	Poultry	Food	Chicken	A	10	ST10 Cplx	4	Yes	2013	1	34	98.373	100
78	SAMN02628687	2013-07-01	32.3182314	-86.902298	Poultry	Food	Chicken	A	1286	ST10 Cplx	3	Yes	2013	0	0	0	0
79	SAMN02628672	2013-07-01	44.3148443	-85.6023643	Poultry	Food	Chicken	A	541	ST522 Cplx	7	No	2013	3	54	98.2025	100
80	SAMN02628671	2013-07-01	44.3148443	-85.6023643	Poultry	Food	Chicken	B1	5583	NA	7	Yes	2013	1	32	98.9695	100
81	SAMN02628702	2013-07-01	44.3148443	-85.6023643	Poultry	Food	Chicken	B1	212	NA	3	Yes	2013	1	32	98.8825	100
82	SAMN02628680	2013-07-01	40.0583238	-74.4056612	Poultry	Food	Chicken	D	4243	NA	6	Yes	2013	1	31	97.661	100
83	SAMN02628691	2013-07-01	44.0682019	-114.7420408	Poultry	Food	Chicken	A	2542	NA	6	Yes	2013	1	35	98.936	100
84	SAMN02628688	2013-07-01	30.9842977	-91.9623327	Poultry	Food	Chicken	A	1141	ST10 Cplx	4	Yes	2013	18	70	98.387	100
85	SAMN02628701	2013-07-01	44.3148443	-85.6023643	Poultry	Food	Chicken	A	399	ST399 Cplx	2	No	2013	1	1	52.778	49.315
86	SAMN02628683	2013-07-01	31.9685988	-99.9018131	Poultry	Food	Chicken	D	720	NA	3	Yes	2013	1	32	98.9185	100
87	SAMN02628684	2013-07-01	34.0489281	-111.0937311	Poultry	Food	Chicken	A	48	ST10 Cplx	5	Yes	2013	1	34	98.542	100
88	SAMN02628700	2013-07-01	39.5500507	-105.7820674	Poultry	Food	Chicken	A	10	ST10 Cplx	3	Yes	2013	21	63	98.347	100
89	SAMN02628676	2013-07-01	31.9685988	-99.9018131	Poultry	Food	Chicken	A	399	ST399 Cplx	4	No	2013	1	24	76.7595	98.5335
90	SAMN02628645	2013-07-01	36.778261	-119.4179324	Poultry	Food	Chicken	B1	58	ST155 Cplx	2	No	2013	0	0	0	0
91	SAMN02628651	2013-07-01	30.9842977	-91.9623327	Poultry	Food	Chicken	C	88	ST23 Cplx	4	Yes	2013	1	36	98.4415	100
92	SAMN02628640	2013-07-01	35.20105	-91.8318334	Poultry	Food	Chicken	A	1850	NA	2	No	2013	1	33	99.485	100
93	SAMN02628650	2013-07-01	30.9842977	-91.9623327	Poultry	Food	Chicken	A	2040	NA	7	Yes	2013	1	36	98.9	100
94	SAMN02628665	2013-07-01	39.5500507	-105.7820674	Poultry	Food	Chicken	A	5366	NA	3	No	2013	1	2	99.858	99.1195
95	SAMN02628667	2013-07-01	39.5500507	-105.7820674	Poultry	Food	Chicken	B1	3580	NA	3	Yes	2013	1	35	98.936	100
96	SAMN02628659	2013-07-01	32.3182314	-86.902298	Poultry	Food	Chicken	F	117	NA	5	Yes	2013	1	32	99.0695	100
97	SAMN02628664	2013-07-01	40.7127753	-74.0059728	Poultry	Food	Chicken	B2	420	NA	3	No	2013	1	36	98.4415	100
98	SAMN02628666	2013-07-01	39.5500507	-105.7820674	Poultry	Food	Chicken	B1	155	ST155 Cplx	4	Yes	2013	1	35	98.936	100
99	SAMN02628657	2013-07-01	27.6648274	-81.5157535	Poultry	Food	Chicken	D	349	ST349 Cplx	4	Yes	2013	1	33	99.24	100
100	SAMN02628661	2013-07-01	45.253783	-69.4454689	Poultry	Food	Chicken	A	1638	ST10 Cplx	2	Yes	2013	1	36	99.4685	100
101	SAMN02628660	2013-07-01	32.3182314	-86.902298	Poultry	Food	Chicken	B2	95	ST95 Cplx	4	Yes	2013	1	35	98.864	100
102	SAMN02628662	2013-07-01	44.3148443	-85.6023643	Poultry	Food	Chicken	B1	297	NA	3	No	2013	2	36	98.9	100
103	SAMN02628669	2013-07-01	44.3148443	-85.6023643	Poultry	Food	Chicken	B2	355	ST73 Cplx	4	Yes	2013	1	36	98.3695	100
104	SAMN02628647	2013-07-01	41.8780025	-93.097702	Poultry	Food	Chicken	A	409	NA	4	No	2013	2	3	99.81	100
105	SAMN02628629	2013-07-01	44.0682019	-114.7420408	Poultry	Food	Chicken	F	117	NA	2	Yes	2013	1	32	99.0695	100
106	SAMN02628627	2013-07-01	44.0682019	-114.7420408	Poultry	Food	Chicken	B1	155	ST155 Cplx	4	Yes	2013	14	55	98.387	99.772
107	SAMN02628631	2013-07-01	31.9685988	-99.9018131	Poultry	Food	Chicken	B1	2607	NA	3	No	2013	1	32	99.502	100
108	SAMN02628630	2013-07-01	40.6331249	-89.3985283	Poultry	Food	Chicken	B1	5378	NA	5	Yes	2013	5	30	98.7875	100
109	SAMN02628628	2013-07-01	44.0682019	-114.7420408	Poultry	Food	Chicken	B1	602	ST446 Cplx	4	Yes	2013	1	35	98.936	100
110	SAMN02628636	2013-07-01	39.0457549	-76.6412712	Poultry	Food	Chicken	A	3764	NA	3	Yes	2013	11	60	98.402	100
111	SAMN02628635	2013-07-01	39.0457549	-76.6412712	Poultry	Food	Chicken	F	117	NA	5	Yes	2013	2	35	98.936	100
112	SAMN02628613	2013-07-01	47.7510741	-120.7401385	Poultry	Food	Chicken	A	2040	NA	4	Yes	2013	1	36	98.9	100
113	SAMN02628611	2013-07-01	34.0489281	-111.0937311	Poultry	Food	Chicken	A	3202	NA	3	No	2013	3	27	98.361	100
114	SAMN02628616	2013-07-01	41.2033216	-77.1945247	Poultry	Food	Chicken	B1	155	ST155 Cplx	5	No	2013	4	37	98.077	100
115	SAMN02628607	2013-07-01	31.9685988	-99.9018131	Poultry	Food	Chicken	A	10	ST10 Cplx	3	Yes	2013	2	32	98.386	100
116	SAMN02628618	2013-07-01	47.7510741	-120.7401385	Poultry	Food	Chicken	C	23	ST23 Cplx	7	Yes	2013	13	48	98.0035	100
117	SAMN02628612	2013-07-01	44.3148443	-85.6023643	Poultry	Food	Chicken	D	69	ST69 Cplx	5	No	2013	1	32	99.502	100
118	SAMN02628619	2013-07-01	36.778261	-119.4179324	Poultry	Food	Chicken	A	2040	NA	8	Yes	2013	1	36	98.9	100
119	SAMN02628599	2013-07-01	35.20105	-91.8318334	Poultry	Food	Chicken	A	10	ST10 Cplx	4	Yes	2013	0	0	0	0
120	SAMN02628593	2013-07-01	44.0682019	-114.7420408	Poultry	Food	Chicken	B1	453	ST86 Cplx	3	Yes	2013	1	35	98.122	100
121	SAMN02628602	2013-07-01	39.0457549	-76.6412712	Poultry	Food	Chicken	B2	131	ST131 Cplx	4	Yes	2013	2	37	98.859	100
122	SAMN02628604	2013-07-01	46.729553	-94.6858998	Poultry	Food	Chicken	B1	4663	ST278 Cplx	5	Yes	2013	1	10	98.775	99.519
123	SAMN02628595	2013-07-01	37.8393332	-84.2700179	Poultry	Food	Chicken	B1	297	NA	3	No	2013	1	35	98.936	100
124	SAMN02628596	2013-07-01	44.0682019	-114.7420408	Poultry	Food	Chicken	F	117	NA	4	Yes	2013	1	33	99.248	100
125	SAMN02628598	2013-07-01	35.20105	-91.8318334	Poultry	Food	Chicken	F	5402	NA	5	Yes	2013	1	36	98.6505	100
126	SAMN02628600	2013-07-01	35.20105	-91.8318334	Poultry	Food	Chicken	B2	131	ST131 Cplx	4	Yes	2013	2	37	98.63	100
127	SAMN02628576	2013-07-01	37.8393332	-84.2700179	Poultry	Food	Chicken	F	117	NA	2	No	2013	1	36	98.747	100
128	SAMN02628582	2013-07-01	47.7510741	-120.7401385	Poultry	Food	Chicken	B1	155	ST155 Cplx	3	Yes	2013	3	34	98.048	100
129	SAMN02628583	2013-07-01	31.9685988	-99.9018131	Poultry	Food	Chicken	B2	1170	NA	6	Yes	2013	1	36	98.433	100
130	SAMN02628578	2013-07-01	37.8393332	-84.2700179	Poultry	Food	Chicken	F	117	NA	2	No	2013	1	36	98.747	100
131	SAMN02628581	2013-07-01	40.4172871	-82.907123	Poultry	Food	Chicken	B1	101	ST101 Cplx	4	Yes	2013	1	35	98.936	100
132	SAMN02628587	2013-07-01	39.0457549	-76.6412712	Poultry	Food	Chicken	B1	155	ST155 Cplx	8	Yes	2013	3	37	98.864	100
133	SAMN02628579	2013-07-01	40.4172871	-82.907123	Poultry	Food	Chicken	B1	101	ST101 Cplx	3	Yes	2013	25	68	98.8825	99.306
134	SAMN02628574	2013-07-01	30.9842977	-91.9623327	Poultry	Food	Chicken	B1	1844	NA	4	Yes	2013	1	35	98.864	100
135	SAMN02628562	2013-07-01	32.3182314	-86.902298	Poultry	Food	Chicken	D	2732	NA	7	Yes	2013	12	47	98.576	100
136	SAMN02628560	2013-07-01	45.253783	-69.4454689	Poultry	Food	Chicken	A	10	ST10 Cplx	4	Yes	2013	0	0	0	0
137	SAMN02628565	2013-07-01	41.2033216	-77.1945247	Poultry	Food	Chicken	C	23	ST23 Cplx	3	Yes	2013	1	12	98.826	100
138	SAMN02628559	2013-07-01	32.3182314	-86.902298	Poultry	Food	Chicken	B1	58	ST155 Cplx	4	Yes	2013	25	68	98.6075	99.3035
139	SAMN02628569	2013-07-01	30.9842977	-91.9623327	Poultry	Food	Chicken	C	23	ST23 Cplx	4	Yes	2013	20	56	98.6665	100
140	SAMN02628573	2013-07-01	42.4072107	-71.3824374	Poultry	Food	Chicken	B1	101	ST101 Cplx	6	Yes	2013	25	70	99.038	93.3965
141	SAMN02628551	2013-07-01	34.0489281	-111.0937311	Poultry	Food	Chicken	A	48	ST10 Cplx	4	Yes	2013	1	30	98.868	100
142	SAMN02628555	2013-07-01	44.0682019	-114.7420408	Poultry	Food	Chicken	B2	131	ST131 Cplx	7	Yes	2013	2	37	98.63	100
143	SAMN02628558	2013-07-01	39.0457549	-76.6412712	Poultry	Food	Chicken	B1	101	ST101 Cplx	3	No	2013	2	35	98.936	100
144	SAMN02628556	2013-07-01	36.778261	-119.4179324	Poultry	Food	Chicken	B1	162	ST469 Cplx	6	Yes	2013	22	68	98.936	99.8905
145	SAMN02628557	2013-07-01	39.0457549	-76.6412712	Poultry	Food	Chicken	B1	949	ST155 Cplx	4	Yes	2013	30	71	98.864	97.778
146	SAMN02628554	2013-07-01	41.8780025	-93.097702	Poultry	Food	Chicken	B1	4162	ST155 Cplx	3	Yes	2013	1	35	98.936	100
147	SAMN02628553	2013-07-01	40.0583238	-74.4056612	Poultry	Food	Chicken	C	23	ST23 Cplx	5	Yes	2013	8	47	98.936	100
148	SAMN02628546	2013-07-01	37.8393332	-84.2700179	Poultry	Food	Chicken	F	3258	NA	3	Yes	2013	29	76	98.8335	99.3955
149	SAMN02628537	2013-07-01	47.7510741	-120.7401385	Poultry	Food	Chicken	C	23	ST23 Cplx	5	Yes	2013	12	46	98.424	100
150	SAMN02628545	2013-07-01	32.3182314	-86.902298	Poultry	Food	Chicken	E	5281	NA	3	Yes	2013	1	32	99.0695	100
151	SAMN02628548	2013-07-01	35.20105	-91.8318334	Poultry	Food	Chicken	B1	156	ST156 Cplx	4	Yes	2013	1	31	99.18	100
152	SAMN02628543	2013-07-01	32.3182314	-86.902298	Poultry	Food	Chicken	F	117	NA	3	No	2013	1	33	99.125	100
153	SAMN02628536	2013-07-01	47.7510741	-120.7401385	Poultry	Food	Chicken	B1	101	ST101 Cplx	2	No	2013	1	9	99.746	100
154	SAMN02628542	2013-07-01	30.9842977	-91.9623327	Poultry	Food	Chicken	B1	57	ST350 Cplx	3	Yes	2013	2	10	99.191	100
155	SAMN04160747	2014-11-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	5204	NA	1	Yes	2014	0	0	0	0
156	SAMN04160773	2014-11-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	5727	NA	3	Yes	2014	0	0	0	0
157	SAMN04160772	2014-11-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	5728	NA	0	Yes	2014	0	0	0	0
158	SAMN04160770	2014-11-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	5728	NA	0	Yes	2014	0	0	0	0
159	SAMN04160758	2013-03-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	5730	NA	4	Yes	2013	4	37	93.688	100
160	SAMN04160753	2013-03-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	B1	5730	NA	5	Yes	2013	3	36	93.7885	100
161	SAMN04191546	2013-08-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	0	No	2013	0	0	0	0
162	SAMN04191537	2015-04-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	D	38	ST38 Cplx	5	Yes	2015	1	3	100	100
163	SAMN04191535	2014-11-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	5204	NA	1	Yes	2014	0	0	0	0
164	SAMN04191534	2014-11-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	A	5204	NA	1	Yes	2014	0	0	0	0
165	SAMN03702810	2014-12-01	31.9685988	-99.9018131	Bovine	Food	Bovine	E	11	ST11 Cplx	2	No	2014	3	34	97.354	100
166	SAMN04191561	2012-01-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765
167	SAMN04191556	2012-01-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765
168	SAMN04191555	2012-01-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2012	1	2	94.607	99.8765
169	SAMN04191551	2011-07-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	Yes	2011	1	2	94.607	99.8765
170	SAMN04191550	2011-07-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	3	Yes	2011	2	3	91.584	99.753
171	SAMN04191549	2011-07-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	3	Yes	2011	2	3	91.584	99.753
172	SAMN04191548	2011-07-01	27.6648274	-81.5157535	Bovine	Livestock	Bovine	E	11	ST11 Cplx	3	Yes	2011	2	3	91.584	99.753
173	SAMN04293434	2014-07-01	40.0583238	-74.4056612	Bovine	Livestock	Bovine	B1	154	NA	1	No	2014	1	5	97.541	100
174	SAMN04293431	2014-07-01	32.3182314	-86.902298	Poultry	Poultry	Chicken	D	5897	NA	5	Yes	2014	2	31	98.63	100
175	SAMN04293430	2014-07-01	35.5174913	-86.5804473	Bovine	Livestock	Bovine	B1	1308	ST86 Cplx	0	No	2014	0	0	0	0
176	SAMN04293429	2014-07-01	41.2033216	-77.1945247	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	5	No	2014	0	0	0	0
177	SAMN04293426	2014-07-01	37.9642529	-91.8318334	Poultry	Poultry	Chicken	A	5898	NA	6	Yes	2014	1	18	99.058	100
178	SAMN04293421	2014-10-01	41.2033216	-77.1945247	Swine	Livestock	Swine	B1	58	ST155 Cplx	1	No	2014	2	36	98.7445	100
179	SAMN04293420	2014-10-01	32.3546679	-89.3985283	Swine	Livestock	Swine	B1	5900	ST155 Cplx	6	Yes	2014	2	37	98.864	100
180	SAMN04293415	2014-10-01	43.7844397	-88.7878678	Bovine	Livestock	Bovine	B1	2005	NA	0	No	2014	0	0	0	0
181	SAMN04293406	2014-10-01	37.4315734	-78.6568942	Swine	Livestock	Swine	A	10	ST10 Cplx	3	Yes	2014	1	9	98.864	100
182	SAMN04293399	2014-10-01	43.7844397	-88.7878678	Swine	Livestock	Swine	B1	5905	ST155 Cplx	4	Yes	2014	1	35	98.864	100
183	SAMN04293391	2014-09-01	35.7595731	-79.0192997	Poultry	Poultry	Chicken	B1	602	ST446 Cplx	2	Yes	2014	1	32	99.248	100
184	SAMN04293387	2014-09-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	A	10	ST10 Cplx	4	No	2014	1	5	63.47	95.885
185	SAMN04293378	2014-09-01	32.3546679	-89.3985283	Poultry	Poultry	Chicken	A	48	ST10 Cplx	7	Yes	2014	0	0	0	0
186	SAMN04293376	2014-09-01	35.5174913	-86.5804473	Swine	Livestock	Swine	B1	58	ST155 Cplx	1	No	2014	0	0	0	0
187	SAMN04293370	2014-05-01	40.6331249	-89.3985283	Poultry	Poultry	Chicken	B1	2602	NA	2	Yes	2014	2	35	98.936	100
188	SAMN04293368	2014-05-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	A	398	ST398 Cplx	3	No	2014	13	52	98.8035	100
189	SAMN04293364	2014-05-01	35.7595731	-79.0192997	Poultry	Poultry	Chicken	D	5897	NA	6	Yes	2014	17	63	98.077	100
190	SAMN04293350	2014-12-01	44.3148443	-85.6023643	Swine	Livestock	Swine	B1	58	ST155 Cplx	3	Yes	2014	1	35	98.864	100
191	SAMN04293348	2014-12-01	32.1656221	-82.9000751	Poultry	Poultry	Chicken	B1	212	NA	5	Yes	2014	3	37	98.077	100
192	SAMN04293343	2014-12-01	35.5174913	-86.5804473	Bovine	Livestock	Bovine	B1	666	ST446 Cplx	2	No	2014	3	43	98.592	100
