new_protein_ids	accession_id	protein_id	gene	seq_len	protein_des	ReplacedBy	Organism_old	Title_old	SubType	SubName	Organism_new	Title_new	Status	gene_name	Plasmid	GenBank.Number	Host	Protein	query_protein_len
WP_000283561.1	NC_002134	NP_052945.1	traj	672	positive rugulator of tra operon	WP_000283561.1	Shigella flexneri 2b	positive rugulator of tra operon (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Gammaproteobacteria	MULTISPECIES: conjugal transfer transcriptional regulator TraJ [Gammaproteobacteria]	NA	traj	R100	NC_002134	Shigella flexneri	TraJ	223
WP_001230772.1	NC_002134	NP_052950.1	trak	729	hypothetical protein	WP_001230772.1	Shigella flexneri 2b	traK (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system secretin TraK [Enterobacteriaceae]	NA	trak	R100	NC_002134	Shigella flexneri	TraK	242
WP_000012113.1	NC_002134	NP_052948.1	tral	312	hypothetical protein	WP_000012113.1	Shigella flexneri 2b	traL (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: type IV conjugative transfer system protein TraL [Enterobacteriaceae]	NA	tral	R100	NC_002134	Shigella flexneri	TraL	103
WP_001354030.1	NC_002134	NP_052944.1	tram	384	hypothetical protein	WP_001354030.1	Shigella flexneri 2b	traM (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Gammaproteobacteria	MULTISPECIES: conjugal transfer relaxosome DNA-binding protein TraM [Gammaproteobacteria]	NA	tram	R100	NC_002134	Shigella flexneri	TraM	127
WP_010891340.1	NC_002134	NP_052966.1	tran	903	hypothetical protein	WP_010891340.1	Shigella flexneri 2b	traN (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Shigella flexneri	hypothetical protein [Shigella flexneri]	suppressed	tran	NA	NA	NA	NA	300
WP_001444176.1	NC_002134	NP_052952.1	trap	588	hypothetical protein	WP_001444176.1	Shigella flexneri 2b	traP (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Vibrio parahaemolyticus	conjugal transfer pilus-stabilizing protein TraP [Vibrio parahaemolyticus]	NA	trap	R100	NC_002134	Shigella flexneri	TraP	195
WP_000624194.1	NC_002134	NP_052971.1	traq	285	possible cleavage protein of preproplin	WP_000624194.1	Shigella flexneri 2b	possible cleavage protein of preproplin (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system pilin chaperone TraQ [Enterobacteriaceae]	NA	traq	R100	NC_002134	Shigella flexneri	TraQ	94
WP_001278683.1	NC_002134	NP_052955.1	trar	222	hypothetical protein	WP_001278683.1	Shigella flexneri 2b	traR (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Bacteria	MULTISPECIES: conjugal transfer protein TraR [Bacteria]	NA	trar	R100	NC_002134	Shigella flexneri	TraR	73
WP_000782451.1	NC_002134	NP_052978.1	trat	732	surface exclusion protein	WP_000782451.1	Shigella flexneri 2b	surface exclusion protein (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: conjugal transfer complement resistance protein TraT [Enterobacteriaceae]	NA	trat	R100	NC_002134	Shigella flexneri	TraT	243
WP_000830838.1	NC_002134	NP_052963.1	trau	993	hypothetical protein	WP_000830838.1	Shigella flexneri 2b	traU (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Gammaproteobacteria	MULTISPECIES: conjugal transfer pilus assembly protein TraU [Gammaproteobacteria]	NA	trau	R100	NC_002134	Shigella flexneri	TraU	330
WP_000809881.1	NC_002134	NP_052954.1	trav	516	hypothetical protein	WP_000809881.1	Shigella flexneri 2b	traV (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Gammaproteobacteria	MULTISPECIES: type IV conjugative transfer system lipoprotein TraV [Gammaproteobacteria]	NA	trav	R100	NC_002134	Shigella flexneri	TraV	171
WP_001203728.1	NC_002134	NP_052962.1	traw	633	hypothetical protein	WP_001203728.1	Shigella flexneri 2b	traW (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system protein TraW [Enterobacteriaceae]	NA	traw	R100	NC_002134	Shigella flexneri	TraW	210
WP_000205725.1	NC_002134	NP_052982.1	trax	747	possible pilin acetylase	WP_000205725.1	Shigella flexneri 2b	possible pilin acetylase (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Gammaproteobacteria	MULTISPECIES: conjugal transfer pilus acetylase TraX [Gammaproteobacteria]	NA	trax	R100	NC_002134	Shigella flexneri	TraX	248
WP_000089263.1	NC_002134	NP_052946.1	tray	228	component of oriT	WP_000089263.1	Shigella flexneri 2b	component of oriT-specific nickase (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Gammaproteobacteria	MULTISPECIES: conjugal transfer relaxosome protein TraY [Gammaproteobacteria]	NA	tray	R100	NC_002134	Shigella flexneri	TraY	75
WP_000556796.1	NC_002134	NP_052970.1	trba	345	hypothetical protein	WP_000556796.1	Shigella flexneri 2b	trbA (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Gammaproteobacteria	MULTISPECIES: conjugal transfer protein TrbA [Gammaproteobacteria]	NA	trba	R100	NC_002134	Shigella flexneri	TrbA	114
WP_000059831.1	NC_002134	NP_052972.1	trbb	546	hypothetical protein	WP_000059831.1	Shigella flexneri 2b	trbB (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB [Enterobacteriaceae]	NA	trbb	R100	NC_002134	Shigella flexneri	TrbB	181
WP_001080256.1	NC_002134	NP_052965.1	trbc	639	hypothetical protein	WP_001080256.1	Shigella flexneri 2b	trbC (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Gammaproteobacteria	MULTISPECIES: type-F conjugative transfer system pilin assembly protein TrbC [Gammaproteobacteria]	NA	trbc	R100	NC_002134	Shigella flexneri	TrbC	212
WP_001315561.1	NC_002134	NP_052953.1	trbd	369	hypothetical protein	WP_001315561.1	Shigella flexneri 2b	trbD (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Gammaproteobacteria	MULTISPECIES: conjugal transfer protein TrbD [Gammaproteobacteria]	suppressed	trbd	R100	NC_002134	Shigella flexneri	TrbD	122
WP_001309240.1	NC_002134	NP_052968.1	trbe	261	hypothetical protein	WP_001309240.1	Shigella flexneri 2b	trbE (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Vibrio parahaemolyticus	conjugal transfer protein TrbE [Vibrio parahaemolyticus]	NA	trbe	R100	NC_002134	Shigella flexneri	TrbE	86
WP_001444237.1	NC_002134	NP_052974.1	trbf	426	hypothetical protein	WP_001444237.1	Shigella flexneri 2b	trbF (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: F-type conjugal transfer protein TrbF [Enterobacteriaceae]	suppressed	trbf	R100	NC_002134	Shigella flexneri	TrbF	141
WP_000214084.1	NC_002134	NP_052961.1	trbi	387	hypothetical protein	WP_000214084.1	Shigella flexneri 2b	trbI (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Gammaproteobacteria	MULTISPECIES: type-F conjugative transfer system protein TrbI [Gammaproteobacteria]	NA	trbi	R100	NC_002134	Shigella flexneri	TrbI	128
WP_001309242.1	NC_002134	NP_052973.1	trbj	348	hypothetical protein	WP_001309242.1	Shigella flexneri 2b	trbJ (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: P-type conjugative transfer protein TrbJ [Enterobacteriaceae]	NA	trbj	R100	NC_002134	Shigella flexneri	TrbJ	115
WP_000415566.1	NC_002483	NP_061472.1	arta	315	hypothetical protein	WP_000415566.1	Escherichia coli K-12	artA (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: protein ArtA [Enterobacteriaceae]	NA	arta	F	NC_002483	Escherichia coli	ArtA	104
WP_000994779.1	NC_002483	NP_061453.1	traa	366	prepropilin	WP_000994779.1	Escherichia coli K-12	prepropilin (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Gammaproteobacteria	MULTISPECIES: type IV conjugative transfer system pilin TraA [Gammaproteobacteria]	NA	traa	R100	NC_002134	Shigella flexneri	TraA	121
WP_000146685.1	NC_002483	NP_061457.1	trab	1428	hypothetical protein	WP_000146685.1	Escherichia coli K-12	traB (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Gammaproteobacteria	MULTISPECIES: F-type conjugal transfer pilus assembly protein TraB [Gammaproteobacteria]	NA	trab	F	NC_002483	Escherichia coli	TraB	475
WP_001064243.1	NC_002483	NP_061463.1	trac	2628	hypothetical protein	WP_001064243.1	Escherichia coli K-12	traC (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: type IV secretion system protein TraC [Enterobacteriaceae]	NA	trac	F	NC_002483	Escherichia coli	TraC	875
WP_000009350.1	NC_002483	NP_061481.1	trad	2154	hypothetical protein	WP_000009350.1	Escherichia coli K-12	traD (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Gammaproteobacteria	MULTISPECIES: type IV conjugative transfer system coupling protein TraD [Gammaproteobacteria]	NA	trad	F	NC_002483	Escherichia coli	TraD	717
WP_000399792.1	NC_002483	NP_061455.1	trae	567	hypothetical protein	WP_000399792.1	Escherichia coli K-12	traE (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Bacteria	MULTISPECIES: type IV conjugative transfer system protein TraE [Bacteria]	NA	trae	F	NC_002483	Escherichia coli	TraE	188
WP_002433298.1	NC_002483	NP_061470.1	traf	774	hypothetical protein	WP_002433298.1	Escherichia coli K-12	traF (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system pilin assembly protein TraF [Enterobacteriaceae]	suppressed	traf	F	NC_002483	Escherichia coli	TraF	257
WP_001007055.1	NC_002483	NP_061478.1	trag	2817	hypothetical protein	WP_001007055.1	Escherichia coli K-12	traG (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: conjugal transfer mating-pair stabilization protein TraG [Enterobacteriaceae]	NA	trag	F	NC_002483	Escherichia coli	TraG	938
WP_000982831.1	NC_002483	NP_061477.1	trah	1377	hypothetical protein	WP_000982831.1	Escherichia coli K-12	traH (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Salmonella enterica	conjugal transfer pilus assembly protein TraH [Salmonella enterica]	NA	trah	F	NC_002483	Escherichia coli	TraH	458
WP_000987005.1	NC_002483	NP_061483.1	trai	5271	hypothetical protein	WP_000987005.1	Escherichia coli K-12	traI (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: conjugative transfer relaxase/helicase TraI [Enterobacteriaceae]	NA	trai	NA	NA	NA	NA	1756
WP_000283385.1	NC_002483	NP_061451.1	traj	690	hypothetical protein	WP_000283385.1	Escherichia coli K-12	traJ (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Gammaproteobacteria	MULTISPECIES: conjugal transfer transcriptional regulator TraJ [Gammaproteobacteria]	NA	traj	F	NC_002483	Escherichia coli	TraJ	229
WP_001230787.1	NC_002483	NP_061456.1	trak	729	hypothetical protein	WP_001230787.1	Escherichia coli K-12	traK (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Bacteria	MULTISPECIES: type-F conjugative transfer system secretin TraK [Bacteria]	NA	trak	F	NC_002483	Escherichia coli	TraK	242
WP_000012106.1	NC_002483	NP_061454.1	tral	312	hypothetical protein	WP_000012106.1	Escherichia coli K-12	traL (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Gammaproteobacteria	MULTISPECIES: type IV conjugative transfer system protein TraL [Gammaproteobacteria]	NA	tral	F	NC_002483	Escherichia coli	TraL	103
WP_001151527.1	NC_002483	NP_061450.1	tram	384	hypothetical protein	WP_001151527.1	Escherichia coli K-12	traM (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: conjugal transfer relaxosome DNA-binding protein TraM [Enterobacteriaceae]	NA	tram	F	NC_002483	Escherichia coli	TraM	127
WP_000821835.1	NC_002483	NP_061468.1	tran	1809	hypothetical protein	WP_000821835.1	Escherichia coli K-12	traN (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system mating-pair stabilization protein TraN [Enterobacteriaceae]	NA	tran	F	NC_002483	Escherichia coli	TraN	602
WP_000002792.1	NC_002483	NP_061458.1	trap	591	hypothetical protein	WP_000002792.1	Escherichia coli K-12	traP (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Gammaproteobacteria	MULTISPECIES: conjugal transfer pilus-stabilizing protein TraP [Gammaproteobacteria]	NA	trap	F	NC_002483	Escherichia coli	TraP	196
WP_000624109.1	NC_002483	NP_061473.1	traq	285	hypothetical protein	WP_000624109.1	Escherichia coli K-12	traQ (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Gammaproteobacteria	MULTISPECIES: type-F conjugative transfer system pilin chaperone TraQ [Gammaproteobacteria]	NA	traq	F	NC_002483	Escherichia coli	TraQ	94
WP_001278689.1	NC_002483	NP_061462.1	trar	222	hypothetical protein	WP_001278689.1	Escherichia coli K-12	traR (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Bacteria	MULTISPECIES: conjugal transfer protein TraR [Bacteria]	NA	trar	F	NC_002483	Escherichia coli	TraR	73
WP_000632670.1	NC_002483	NP_061479.1	tras	522	surface exclusion protien	WP_000632670.1	Escherichia coli K-12	surface exclusion protien (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: conjugal transfer entry exclusion protein TraS [Enterobacteriaceae]	NA	tras	F	NC_002483	Escherichia coli	TraS	173
WP_000978374.1	NC_002483	NP_061480.1	trat	735	surface exclusion protien	WP_000978374.1	Escherichia coli K-12	surface exclusion protien (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: conjugal transfer complement resistance protein TraT [Enterobacteriaceae]	suppressed	trat	F	NC_002483	Escherichia coli	TraT	244
WP_000830185.1	NC_002483	NP_061466.1	trau	993	hypothetical protein	WP_000830185.1	Escherichia coli K-12	traU (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: conjugal transfer pilus assembly protein TraU [Enterobacteriaceae]	NA	trau	F	NC_002483	Escherichia coli	TraU	330
WP_010892541.1	NC_002483	NP_061461.1	trav	516	hypothetical protein	WP_010892541.1	Escherichia coli K-12	traV (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: type IV conjugative transfer system lipoprotein TraV [Enterobacteriaceae]	NA	trav	F	NC_002483	Escherichia coli	TraV	171
WP_001203720.1	NC_002483	NP_061465.1	traw	633	hypothetical protein	WP_001203720.1	Escherichia coli K-12	traW (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Bacteria	MULTISPECIES: type-F conjugative transfer system protein TraW [Bacteria]	NA	traw	F	NC_002483	Escherichia coli	TraW	210
WP_000205776.1	NC_002483	NP_061484.1	trax	747	hypothetical protein	WP_000205776.1	Escherichia coli K-12	traX (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: conjugal transfer pilus acetylase TraX [Enterobacteriaceae]	NA	trax	F	NC_002483	Escherichia coli	TraX	248
WP_001309237.1	NC_002483	NP_061452.1	tray	396	hypothetical protein	WP_001309237.1	Escherichia coli K-12	traY (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Gammaproteobacteria	MULTISPECIES: conjugal transfer relaxosome DNA-bindin protein TraY [Gammaproteobacteria]	NA	tray	F	NC_002483	Escherichia coli	TraY	131
WP_001287913.1	NC_002483	NP_061471.1	trba	348	hypothetical protein	WP_001287913.1	Escherichia coli K-12	trbA (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Gammaproteobacteria	MULTISPECIES: conjugal transfer protein TrbA [Gammaproteobacteria]	NA	trba	F	NC_002483	Escherichia coli	TrbA	115
WP_000059850.1	NC_002483	NP_061474.1	trbb	546	hypothetical protein	WP_000059850.1	Escherichia coli K-12	trbB (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Gammaproteobacteria	MULTISPECIES: type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB [Gammaproteobacteria]	NA	trbb	F	NC_002483	Escherichia coli	TrbB	181
WP_000777688.1	NC_002483	NP_061467.1	trbc	639	hypothetical protein	WP_000777688.1	Escherichia coli K-12	trbC (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Gammaproteobacteria	MULTISPECIES: type-F conjugative transfer system pilin assembly protein TrbC [Gammaproteobacteria]	NA	trbc	F	NC_002483	Escherichia coli	TrbC	212
WP_001443030.1	NC_002483	NP_061459.1	trbd	198	hypothetical protein	WP_001443030.1	Escherichia coli K-12	trbD (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: conjugal transfer protein TrbD [Enterobacteriaceae]	NA	trbd	F	NC_002483	Escherichia coli	TrbD	65
WP_001324101.1	NC_002483	NP_061469.1	trbe	261	hypothetical protein	WP_001324101.1	Escherichia coli K-12	trbE (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: conjugal transfer protein TrbE [Enterobacteriaceae]	suppressed	trbe	F	NC_002483	Escherichia coli	TrbE	86
WP_001366201.1	NC_002483	NP_061476.1	trbf	381	hypothetical protein	WP_001366201.1	Escherichia coli K-12	trbF (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: F-type conjugal transfer protein TrbF [Enterobacteriaceae]	NA	trbf	F	NC_002483	Escherichia coli	TrbF	126
WP_001038342.1	NC_002483	NP_061460.1	trbg	252	hypothetical protein	WP_001038342.1	Escherichia coli K-12	trbG (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Bacteria	MULTISPECIES: conjugal transfer protein TrbG [Bacteria]	NA	trbg	F	NC_002483	Escherichia coli	TrbG	83
WP_000099690.1	NC_002483	NP_061464.1	trbi	387	hypothetical protein	WP_000099690.1	Escherichia coli K-12	trbI (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system protein TrbI [Enterobacteriaceae]	NA	trbi	F	NC_002483	Escherichia coli	TrbI	128
WP_001443031.1	NC_002483	NP_061475.1	trbj	342	hypothetical protein	WP_001443031.1	Escherichia coli K-12	trbJ (plasmid) [Escherichia coli K-12]	plasmid|strain|sub_strain	F|K-12|CR63	Enterobacteriaceae	MULTISPECIES: P-type conjugative transfer protein TrbJ [Enterobacteriaceae]	NA	trbj	F	NC_002483	Escherichia coli	TrbJ	113
WP_000139307.1	NC_002638	NP_073251.1	fino	564	conjugal transfer fertility inhibition protein FinO	WP_000139307.1	Salmonella enterica subsp. enterica serovar Choleraesuis	conjugal transfer fertility inhibition protein FinO (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	plasmid|strain|old_name|sub_species|serovar	pKDSC50|RF-1|Salmonella enterica serovar Choleraesuis|enterica|Choleraesuis	Salmonella	MULTISPECIES: fertility inhibition protein FinO [Salmonella]	NA	fino	pKDSC50	NC_002638	Salmonella enterica	FinO	187
WP_010904484.1	NC_002638	NP_073256.1	trad	2181	conjugal transfer protein TraD	WP_010904484.1	Salmonella enterica subsp. enterica serovar Choleraesuis	conjugal transfer protein TraD (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	plasmid|strain|old_name|sub_species|serovar	pKDSC50|RF-1|Salmonella enterica serovar Choleraesuis|enterica|Choleraesuis	Salmonella enterica	type IV conjugative transfer system coupling protein TraD [Salmonella enterica]	NA	trad	pKDSC50	NC_002638	Salmonella enterica	TraD	726
WP_001541558.1	NC_002638	NP_073257.1	trat	732	conjugal transfer surface exclusion protein TraT	WP_001541558.1	Salmonella enterica subsp. enterica serovar Choleraesuis	conjugal transfer surface exclusion protein TraT (plasmid) [Salmonella enterica subsp. enterica serovar Choleraesuis]	plasmid|strain|old_name|sub_species|serovar	pKDSC50|RF-1|Salmonella enterica serovar Choleraesuis|enterica|Choleraesuis	Salmonella	MULTISPECIES: conjugal transfer complement resistance protein TraT [Salmonella]	NA	trat	pKDSC50	NC_002638	Salmonella enterica	TraT	243
WP_010921724.1	NC_002698	NP_085417.3	fino	612	conjugal transfer fertility inhibition protein FinO	WP_010921724.1	Salmonella enterica subsp. salamae	fertility inhibition protein (plasmid) [Shigella flexneri 5a str. M90T]	plasmid|strain|serotype|old_name	virulence plasmid pWR501|M90T|5a|Shigella flexneri 5a	Shigella flexneri	fertility inhibition protein FinO [Shigella flexneri]	suppressed	fino	pWR501	NC_002698	Shigella flexneri	FinO	203
