genome	n_genes	n_distinct_genes	conj_category	type
SAMN02442844	6	6	MPF_type	MPF_T
SAMN02442846	1	1	relaxase_type	MOBP1
SAMN02442846	1	1	virb4	virb4
SAMN02442846	6	6	MPF_type	MPF_T
SAMN02442847	1	1	relaxase_type	MOBP1
SAMN02442847	1	1	virb4	virb4
SAMN02442847	6	6	MPF_type	MPF_T
SAMN02442848	1	1	relaxase_type	MOBF
SAMN02442848	1	1	relaxase_type	MOBP1
SAMN02442848	1	1	virb4	virb4
SAMN02442848	11	10	MPF_type	MPF_F
SAMN02442848	15	15	MPF_type	MPF_I
SAMN02442848	1	1	MPF_type	MPF_T
SAMN02442850	1	1	relaxase_type	MOBF
SAMN02442850	2	1	relaxase_type	MOBP1
SAMN02442850	1	1	relaxase_type	MOBQ
SAMN02442850	2	1	virb4	virb4
SAMN02442850	12	10	MPF_type	MPF_F
SAMN02442850	6	6	MPF_type	MPF_T
SAMN02442851	1	1	relaxase_type	MOBF
SAMN02442851	1	1	relaxase_type	MOBP1
SAMN02442851	1	1	relaxase_type	MOBQ
SAMN02442851	2	1	virb4	virb4
SAMN02442851	12	10	MPF_type	MPF_F
SAMN02442851	7	6	MPF_type	MPF_T
SAMN02442852	1	1	relaxase_type	MOBF
SAMN02442852	2	1	relaxase_type	MOBP1
SAMN02442852	3	1	virb4	virb4
SAMN02442852	12	10	MPF_type	MPF_F
SAMN02442852	15	15	MPF_type	MPF_I
SAMN02442852	12	8	MPF_type	MPF_T
SAMN02442854	1	1	MPF_type	MPF_F
SAMN02442858	1	1	relaxase_type	MOBF
SAMN02442858	6	5	MPF_type	MPF_F
SAMN02442858	1	1	MPF_type	MPF_T
SAMN02442860	1	1	relaxase_type	MOBF
SAMN02442860	1	1	relaxase_type	MOBP1
SAMN02442860	2	1	virb4	virb4
SAMN02442860	11	10	MPF_type	MPF_F
SAMN02442860	15	15	MPF_type	MPF_I
SAMN02442860	7	7	MPF_type	MPF_T
SAMN02442863	1	1	relaxase_type	MOBP1
SAMN02442863	1	1	virb4	virb4
SAMN02442863	15	15	MPF_type	MPF_I
SAMN02442863	5	5	MPF_type	MPF_T
SAMN02442865	1	1	relaxase_type	MOBF
SAMN02442865	1	1	relaxase_type	MOBH
SAMN02442865	3	1	virb4	virb4
SAMN02442865	21	11	MPF_type	MPF_F
SAMN02442865	8	7	MPF_type	MPF_T
SAMN02442866	1	1	relaxase_type	MOBF
SAMN02442866	1	1	relaxase_type	MOBP1
SAMN02442866	1	1	virb4	virb4
SAMN02442866	1	1	MPF_type	MPF_F
SAMN02442866	15	15	MPF_type	MPF_I
SAMN02442866	5	5	MPF_type	MPF_T
SAMN02442867	1	1	relaxase_type	MOBF
SAMN02442867	1	1	relaxase_type	MOBP1
SAMN02442867	1	1	virb4	virb4
SAMN02442867	12	10	MPF_type	MPF_F
SAMN02442867	11	11	MPF_type	MPF_I
SAMN02628536	4	4	MPF_type	MPF_F
SAMN02628537	1	1	relaxase_type	MOBF
SAMN02628537	2	1	relaxase_type	MOBP1
SAMN02628537	2	1	virb4	virb4
SAMN02628537	16	10	MPF_type	MPF_F
SAMN02628537	18	18	MPF_type	MPF_G
SAMN02628537	16	14	MPF_type	MPF_I
SAMN02628537	2	2	MPF_type	MPF_T
SAMN02628542	3	1	relaxase_type	MOBP1
SAMN02628542	4	3	MPF_type	MPF_F
SAMN02628542	15	15	MPF_type	MPF_I
SAMN02628543	1	1	relaxase_type	MOBF
SAMN02628543	1	1	virb4	virb4
SAMN02628543	13	10	MPF_type	MPF_F
SAMN02628545	1	1	relaxase_type	MOBF
SAMN02628545	2	1	relaxase_type	MOBP1
SAMN02628545	2	1	virb4	virb4
SAMN02628545	11	10	MPF_type	MPF_F
SAMN02628545	19	18	MPF_type	MPF_G
SAMN02628545	16	15	MPF_type	MPF_I
SAMN02628545	2	2	MPF_type	MPF_T
SAMN02628546	3	1	relaxase_type	MOBF
SAMN02628546	2	1	virb4	virb4
SAMN02628546	23	10	MPF_type	MPF_F
SAMN02628548	1	1	relaxase_type	MOBF
SAMN02628548	2	1	relaxase_type	MOBP1
SAMN02628548	1	1	virb4	virb4
SAMN02628548	11	10	MPF_type	MPF_F
SAMN02628548	3	2	MPF_type	MPF_G
SAMN02628548	1	1	MPF_type	MPF_T
SAMN02628551	1	1	relaxase_type	MOBF
SAMN02628551	1	1	virb4	virb4
SAMN02628551	13	10	MPF_type	MPF_F
SAMN02628553	1	1	relaxase_type	MOBC
SAMN02628553	2	1	relaxase_type	MOBF
SAMN02628553	2	1	relaxase_type	MOBP1
SAMN02628553	2	1	virb4	virb4
SAMN02628553	13	10	MPF_type	MPF_F
SAMN02628553	15	15	MPF_type	MPF_I
SAMN02628553	5	4	MPF_type	MPF_T
SAMN02628554	1	1	relaxase_type	MOBF
SAMN02628554	1	1	relaxase_type	MOBP1
SAMN02628554	1	1	virb4	virb4
SAMN02628554	11	10	MPF_type	MPF_F
SAMN02628554	15	15	MPF_type	MPF_I
SAMN02628555	1	1	relaxase_type	MOBF
SAMN02628555	1	1	relaxase_type	MOBH
SAMN02628555	1	1	relaxase_type	MOBP1
SAMN02628555	2	1	virb4	virb4
SAMN02628555	21	12	MPF_type	MPF_F
SAMN02628555	15	15	MPF_type	MPF_I
SAMN02628556	2	1	relaxase_type	MOBF
SAMN02628556	1	1	relaxase_type	MOBH
SAMN02628556	4	1	virb4	virb4
SAMN02628556	29	12	MPF_type	MPF_F
SAMN02628557	2	1	relaxase_type	MOBF
SAMN02628557	3	1	virb4	virb4
SAMN02628557	22	10	MPF_type	MPF_F
SAMN02628558	1	1	relaxase_type	MOBF
SAMN02628558	1	1	relaxase_type	MOBP1
SAMN02628558	1	1	virb4	virb4
SAMN02628558	11	10	MPF_type	MPF_F
SAMN02628559	3	1	relaxase_type	MOBF
SAMN02628559	1	1	relaxase_type	MOBP1
SAMN02628559	3	1	virb4	virb4
SAMN02628559	23	11	MPF_type	MPF_F
SAMN02628559	15	15	MPF_type	MPF_I
SAMN02628560	1	1	relaxase_type	MOBP1
SAMN02628560	1	1	virb4	virb4
SAMN02628560	6	6	MPF_type	MPF_T
SAMN02628562	1	1	relaxase_type	MOBF
SAMN02628562	1	1	relaxase_type	MOBP1
SAMN02628562	1	1	virb4	virb4
SAMN02628562	12	10	MPF_type	MPF_F
SAMN02628562	15	15	MPF_type	MPF_I
SAMN02628565	1	1	relaxase_type	MOBP1
SAMN02628565	3	3	MPF_type	MPF_F
SAMN02628565	15	15	MPF_type	MPF_I
SAMN02628565	1	1	MPF_type	MPF_T
SAMN02628569	3	1	relaxase_type	MOBF
SAMN02628569	15	10	MPF_type	MPF_F
SAMN02628569	1	1	MPF_type	MPF_T
SAMN02628573	2	1	relaxase_type	MOBF
SAMN02628573	2	1	relaxase_type	MOBP1
SAMN02628573	2	1	virb4	virb4
SAMN02628573	19	10	MPF_type	MPF_F
SAMN02628573	15	15	MPF_type	MPF_I
SAMN02628574	1	1	relaxase_type	MOBC
SAMN02628574	1	1	relaxase_type	MOBF
SAMN02628574	2	1	virb4	virb4
SAMN02628574	10	10	MPF_type	MPF_F
SAMN02628574	4	4	MPF_type	MPF_T
SAMN02628576	1	1	relaxase_type	MOBF
SAMN02628576	1	1	virb4	virb4
SAMN02628576	10	10	MPF_type	MPF_F
SAMN02628578	1	1	relaxase_type	MOBF
SAMN02628578	1	1	virb4	virb4
SAMN02628578	10	10	MPF_type	MPF_F
SAMN02628579	3	1	relaxase_type	MOBF
SAMN02628579	3	1	virb4	virb4
SAMN02628579	20	10	MPF_type	MPF_F
SAMN02628581	1	1	relaxase_type	MOBF
SAMN02628581	3	1	relaxase_type	MOBP1
SAMN02628581	2	1	virb4	virb4
SAMN02628581	11	10	MPF_type	MPF_F
SAMN02628581	15	15	MPF_type	MPF_I
SAMN02628581	6	6	MPF_type	MPF_T
SAMN02628582	1	1	relaxase_type	MOBF
SAMN02628582	2	1	virb4	virb4
SAMN02628582	14	10	MPF_type	MPF_F
SAMN02628582	6	6	MPF_type	MPF_T
SAMN02628583	1	1	relaxase_type	MOBF
SAMN02628583	2	1	relaxase_type	MOBP1
SAMN02628583	1	1	virb4	virb4
SAMN02628583	10	10	MPF_type	MPF_F
SAMN02628583	30	15	MPF_type	MPF_I
SAMN02628587	1	1	relaxase_type	MOBF
SAMN02628587	2	1	relaxase_type	MOBP1
SAMN02628587	1	1	relaxase_type	MOBQ
SAMN02628587	2	1	virb4	virb4
SAMN02628587	10	10	MPF_type	MPF_F
SAMN02628587	18	18	MPF_type	MPF_G
SAMN02628587	30	15	MPF_type	MPF_I
SAMN02628587	1	1	MPF_type	MPF_T
SAMN02628588	1	1	relaxase_type	MOBF
SAMN02628588	1	1	relaxase_type	MOBP1
SAMN02628588	1	1	virb4	virb4
SAMN02628588	10	10	MPF_type	MPF_F
SAMN02628588	15	15	MPF_type	MPF_I
SAMN02628593	1	1	relaxase_type	MOBF
SAMN02628593	3	1	relaxase_type	MOBP1
SAMN02628593	1	1	virb4	virb4
SAMN02628593	11	10	MPF_type	MPF_F
SAMN02628593	15	15	MPF_type	MPF_I
SAMN02628593	4	4	MPF_type	MPF_T
SAMN02628595	1	1	relaxase_type	MOBF
SAMN02628595	1	1	relaxase_type	MOBP1
SAMN02628595	1	1	virb4	virb4
SAMN02628595	11	10	MPF_type	MPF_F
SAMN02628595	15	15	MPF_type	MPF_I
SAMN02628596	1	1	relaxase_type	MOBF
SAMN02628596	1	1	relaxase_type	MOBP1
SAMN02628596	1	1	virb4	virb4
SAMN02628596	11	10	MPF_type	MPF_F
SAMN02628596	15	15	MPF_type	MPF_I
SAMN02628598	1	1	relaxase_type	MOBF
SAMN02628598	1	1	relaxase_type	MOBQ
SAMN02628598	1	1	virb4	virb4
SAMN02628598	13	10	MPF_type	MPF_F
SAMN02628598	1	1	MPF_type	MPF_T
SAMN02628599	1	1	virb4	virb4
SAMN02628599	2	1	MPF_type	MPF_F
SAMN02628599	6	6	MPF_type	MPF_T
SAMN02628600	1	1	relaxase_type	MOBF
SAMN02628600	1	1	relaxase_type	MOBQ
SAMN02628600	1	1	virb4	virb4
SAMN02628600	11	10	MPF_type	MPF_F
SAMN02628602	1	1	relaxase_type	MOBF
SAMN02628602	1	1	relaxase_type	MOBP1
SAMN02628602	2	1	virb4	virb4
SAMN02628602	12	10	MPF_type	MPF_F
SAMN02628602	15	15	MPF_type	MPF_I
SAMN02628602	7	6	MPF_type	MPF_T
SAMN02628604	1	1	relaxase_type	MOBP1
SAMN02628604	1	1	virb4	virb4
SAMN02628604	3	3	MPF_type	MPF_F
SAMN02628604	15	15	MPF_type	MPF_I
SAMN02628604	6	6	MPF_type	MPF_T
SAMN02628607	1	1	relaxase_type	MOBF
SAMN02628607	1	1	relaxase_type	MOBP1
SAMN02628607	1	1	virb4	virb4
SAMN02628607	11	10	MPF_type	MPF_F
SAMN02628607	1	1	MPF_type	MPF_T
SAMN02628611	1	1	relaxase_type	MOBF
SAMN02628611	1	1	relaxase_type	MOBQ
SAMN02628611	1	1	virb4	virb4
SAMN02628611	14	11	MPF_type	MPF_F
SAMN02628612	1	1	relaxase_type	MOBF
SAMN02628612	1	1	relaxase_type	MOBP1
SAMN02628612	1	1	relaxase_type	MOBQ
SAMN02628612	1	1	virb4	virb4
SAMN02628612	10	10	MPF_type	MPF_F
SAMN02628612	3	3	MPF_type	MPF_T
SAMN02628613	1	1	relaxase_type	MOBF
SAMN02628613	1	1	relaxase_type	MOBP1
SAMN02628613	1	1	virb4	virb4
SAMN02628613	12	10	MPF_type	MPF_F
SAMN02628613	15	15	MPF_type	MPF_I
SAMN02628616	3	1	relaxase_type	MOBF
SAMN02628616	1	1	relaxase_type	MOBP1
SAMN02628616	1	1	virb4	virb4
SAMN02628616	12	10	MPF_type	MPF_F
SAMN02628616	2	2	MPF_type	MPF_G
SAMN02628616	6	6	MPF_type	MPF_T
SAMN02628618	2	1	relaxase_type	MOBF
SAMN02628618	2	1	relaxase_type	MOBP1
SAMN02628618	1	1	relaxase_type	MOBQ
SAMN02628618	2	1	virb4	virb4
SAMN02628618	17	10	MPF_type	MPF_F
SAMN02628618	18	18	MPF_type	MPF_G
SAMN02628618	17	15	MPF_type	MPF_I
SAMN02628618	2	2	MPF_type	MPF_T
SAMN02628619	1	1	relaxase_type	MOBF
SAMN02628619	2	1	relaxase_type	MOBP1
SAMN02628619	1	1	relaxase_type	MOBQ
SAMN02628619	2	1	virb4	virb4
SAMN02628619	14	10	MPF_type	MPF_F
SAMN02628619	30	15	MPF_type	MPF_I
SAMN02628619	6	6	MPF_type	MPF_T
SAMN02628627	3	1	relaxase_type	MOBF
SAMN02628627	1	1	relaxase_type	MOBP1
SAMN02628627	1	1	virb4	virb4
SAMN02628627	16	10	MPF_type	MPF_F
SAMN02628627	15	15	MPF_type	MPF_I
SAMN02628628	1	1	relaxase_type	MOBF
SAMN02628628	1	1	relaxase_type	MOBP1
SAMN02628628	1	1	virb4	virb4
SAMN02628628	11	10	MPF_type	MPF_F
SAMN02628628	14	14	MPF_type	MPF_I
SAMN02628629	1	1	relaxase_type	MOBF
SAMN02628629	1	1	virb4	virb4
SAMN02628629	10	10	MPF_type	MPF_F
SAMN02628630	1	1	relaxase_type	MOBF
SAMN02628630	1	1	relaxase_type	MOBQ
SAMN02628630	2	1	virb4	virb4
SAMN02628630	13	11	MPF_type	MPF_F
SAMN02628630	7	6	MPF_type	MPF_T
SAMN02628631	1	1	relaxase_type	MOBF
SAMN02628631	1	1	virb4	virb4
SAMN02628631	10	10	MPF_type	MPF_F
SAMN02628635	1	1	relaxase_type	MOBF
SAMN02628635	1	1	relaxase_type	MOBP1
SAMN02628635	1	1	virb4	virb4
SAMN02628635	10	10	MPF_type	MPF_F
SAMN02628635	15	15	MPF_type	MPF_I
SAMN02628636	2	1	relaxase_type	MOBF
SAMN02628636	1	1	relaxase_type	MOBP1
SAMN02628636	2	1	virb4	virb4
SAMN02628636	27	10	MPF_type	MPF_F
SAMN02628640	1	1	relaxase_type	MOBF
SAMN02628640	1	1	virb4	virb4
SAMN02628640	10	10	MPF_type	MPF_F
SAMN02628645	1	1	relaxase_type	MOBP1
SAMN02628645	15	15	MPF_type	MPF_I
SAMN02628647	1	1	relaxase_type	MOBC
SAMN02628647	1	1	relaxase_type	MOBP1
SAMN02628647	2	1	virb4	virb4
SAMN02628647	3	1	MPF_type	MPF_F
SAMN02628647	10	7	MPF_type	MPF_T
SAMN02628650	1	1	relaxase_type	MOBF
SAMN02628650	2	1	relaxase_type	MOBP1
SAMN02628650	2	1	relaxase_type	MOBQ
SAMN02628650	1	1	virb4	virb4
SAMN02628650	12	10	MPF_type	MPF_F
SAMN02628650	30	15	MPF_type	MPF_I
SAMN02628651	1	1	relaxase_type	MOBP1
SAMN02628651	1	1	MPF_type	MPF_F
SAMN02628651	15	15	MPF_type	MPF_I
SAMN02628657	1	1	relaxase_type	MOBF
SAMN02628657	2	1	relaxase_type	MOBP1
SAMN02628657	1	1	virb4	virb4
SAMN02628657	10	10	MPF_type	MPF_F
SAMN02628657	15	15	MPF_type	MPF_I
SAMN02628659	1	1	relaxase_type	MOBF
SAMN02628659	2	1	virb4	virb4
SAMN02628659	10	10	MPF_type	MPF_F
SAMN02628659	18	18	MPF_type	MPF_G
SAMN02628659	1	1	MPF_type	MPF_T
SAMN02628660	1	1	relaxase_type	MOBF
SAMN02628660	1	1	virb4	virb4
SAMN02628660	10	10	MPF_type	MPF_F
SAMN02628661	1	1	relaxase_type	MOBF
SAMN02628661	2	1	relaxase_type	MOBP1
SAMN02628661	1	1	virb4	virb4
SAMN02628661	10	10	MPF_type	MPF_F
SAMN02628661	15	15	MPF_type	MPF_I
SAMN02628662	1	1	relaxase_type	MOBF
SAMN02628662	1	1	virb4	virb4
SAMN02628662	11	10	MPF_type	MPF_F
SAMN02628664	1	1	relaxase_type	MOBF
SAMN02628664	1	1	relaxase_type	MOBQ
SAMN02628664	1	1	virb4	virb4
SAMN02628664	12	10	MPF_type	MPF_F
SAMN02628665	1	1	relaxase_type	MOBP1
SAMN02628665	2	1	relaxase_type	MOBQ
SAMN02628665	1	1	virb4	virb4
SAMN02628665	7	6	MPF_type	MPF_T
SAMN02628666	1	1	relaxase_type	MOBF
SAMN02628666	1	1	relaxase_type	MOBP1
SAMN02628666	2	1	virb4	virb4
SAMN02628666	13	10	MPF_type	MPF_F
SAMN02628666	15	15	MPF_type	MPF_I
SAMN02628666	8	7	MPF_type	MPF_T
SAMN02628667	1	1	relaxase_type	MOBF
SAMN02628667	1	1	virb4	virb4
SAMN02628667	11	10	MPF_type	MPF_F
SAMN02628669	1	1	relaxase_type	MOBF
SAMN02628669	1	1	virb4	virb4
SAMN02628669	11	10	MPF_type	MPF_F
SAMN02628671	1	1	relaxase_type	MOBF
SAMN02628671	1	1	relaxase_type	MOBH
SAMN02628671	1	1	relaxase_type	MOBP1
SAMN02628671	2	1	virb4	virb4
SAMN02628671	20	12	MPF_type	MPF_F
SAMN02628671	15	15	MPF_type	MPF_I
SAMN02628672	2	1	relaxase_type	MOBF
SAMN02628672	2	1	relaxase_type	MOBP1
SAMN02628672	1	1	relaxase_type	MOBQ
SAMN02628672	1	1	virb4	virb4
SAMN02628672	21	10	MPF_type	MPF_F
SAMN02628672	1	1	MPF_type	MPF_T
SAMN02628676	1	1	relaxase_type	MOBF
SAMN02628676	1	1	relaxase_type	MOBH
SAMN02628676	1	1	relaxase_type	MOBQ
SAMN02628676	2	1	virb4	virb4
SAMN02628676	11	11	MPF_type	MPF_F
SAMN02628676	17	17	MPF_type	MPF_G
SAMN02628676	3	3	MPF_type	MPF_T
SAMN02628680	1	1	relaxase_type	MOBF
SAMN02628680	1	1	relaxase_type	MOBH
SAMN02628680	2	1	virb4	virb4
SAMN02628680	20	11	MPF_type	MPF_F
SAMN02628680	21	18	MPF_type	MPF_G
SAMN02628680	1	1	MPF_type	MPF_I
SAMN02628680	1	1	MPF_type	MPF_T
SAMN02628683	1	1	relaxase_type	MOBC
SAMN02628683	1	1	relaxase_type	MOBF
SAMN02628683	2	1	virb4	virb4
SAMN02628683	11	10	MPF_type	MPF_F
SAMN02628683	4	3	MPF_type	MPF_T
SAMN02628684	1	1	relaxase_type	MOBF
SAMN02628684	1	1	relaxase_type	MOBP1
SAMN02628684	1	1	virb4	virb4
SAMN02628684	11	10	MPF_type	MPF_F
SAMN02628684	15	15	MPF_type	MPF_I
SAMN02628685	1	1	relaxase_type	MOBC
SAMN02628685	1	1	relaxase_type	MOBH
SAMN02628685	2	1	relaxase_type	MOBP1
SAMN02628685	3	1	virb4	virb4
SAMN02628685	11	9	MPF_type	MPF_F
SAMN02628685	13	8	MPF_type	MPF_T
SAMN02628686	1	1	relaxase_type	MOBF
