genome	seq_name	length	topology	conjugation_genes	relaxase_type	virb4	t4cp	MPF_type
SAMN02442768	contig_180	24540	DTR	T_virB9	NA	NA	NA	MPF_T
SAMN02442768	contig_180	24540	DTR	MOBC	MOBC	NA	NA	NA
SAMN02442768	contig_180	24540	DTR	T_virB2	NA	NA	NA	MPF_T
SAMN02442768	contig_180	24540	DTR	virb4	NA	virb4	NA	NA
SAMN02442768	contig_98	2342	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442768	contig_169	17731	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442768	contig_52	2315	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442769	contig_29	13155	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442769	contig_29	13155	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442769	contig_29	13155	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442769	contig_29	13155	No terminal repeats	F_traN	NA	NA	NA	MPF_F
SAMN02442769	contig_29	13155	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442769	contig_29	13155	No terminal repeats	F_traW	NA	NA	NA	MPF_F
SAMN02442769	contig_29	13155	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442769	contig_29	13155	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442769	contig_117	2605	No terminal repeats	F_traB	NA	NA	NA	MPF_F
SAMN02442769	contig_117	2605	No terminal repeats	F_traK	NA	NA	NA	MPF_F
SAMN02442769	contig_117	2605	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442769	contig_117	2605	No terminal repeats	F_traL	NA	NA	NA	MPF_F
SAMN02442769	contig_14	46956	No terminal repeats	I_traE	NA	NA	NA	MPF_I
SAMN02442769	contig_14	46956	No terminal repeats	I_traI	NA	NA	NA	MPF_I
SAMN02442769	contig_14	46956	No terminal repeats	I_traK	NA	NA	NA	MPF_I
SAMN02442769	contig_14	46956	No terminal repeats	I_traL	NA	NA	NA	MPF_I
SAMN02442769	contig_14	46956	No terminal repeats	I_traN	NA	NA	NA	MPF_I
SAMN02442769	contig_14	46956	No terminal repeats	I_traO	NA	NA	NA	MPF_I
SAMN02442769	contig_14	46956	No terminal repeats	I_traP	NA	NA	NA	MPF_I
SAMN02442769	contig_14	46956	No terminal repeats	I_traQ	NA	NA	NA	MPF_I
SAMN02442769	contig_14	46956	No terminal repeats	I_traR	NA	NA	NA	MPF_I
SAMN02442769	contig_14	46956	No terminal repeats	I_traT	NA	NA	NA	MPF_I
SAMN02442769	contig_14	46956	No terminal repeats	traU	NA	NA	NA	NA
SAMN02442769	contig_14	46956	No terminal repeats	I_traV	NA	NA	NA	MPF_I
SAMN02442769	contig_14	46956	No terminal repeats	I_traW	NA	NA	NA	MPF_I
SAMN02442769	contig_14	46956	No terminal repeats	I_traY	NA	NA	NA	MPF_I
SAMN02442769	contig_157	24182	No terminal repeats	MOBP1	MOBP1	NA	NA	NA
SAMN02442769	contig_157	24182	No terminal repeats	I_trbB	NA	NA	NA	MPF_I
SAMN02442769	contig_157	24182	No terminal repeats	I_trbA	NA	NA	NA	MPF_I
SAMN02442769	contig_105	2080	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442769	contig_39	80875	No terminal repeats	t4cp1	NA	NA	NA	NA
SAMN02442769	contig_39	80875	No terminal repeats	MOBH	MOBH	NA	NA	NA
SAMN02442769	contig_39	80875	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442769	contig_39	80875	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442769	contig_39	80875	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442769	contig_171	34899	No terminal repeats	T_virB1	NA	NA	NA	MPF_T
SAMN02442769	contig_171	34899	No terminal repeats	T_virB2	NA	NA	NA	MPF_T
SAMN02442769	contig_171	34899	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442769	contig_171	34899	No terminal repeats	T_virB6	NA	NA	NA	MPF_T
SAMN02442769	contig_171	34899	No terminal repeats	T_virB8	NA	NA	NA	MPF_T
SAMN02442769	contig_171	34899	No terminal repeats	T_virB9	NA	NA	NA	MPF_T
SAMN02442769	contig_171	34899	No terminal repeats	T_virB11	NA	NA	NA	MPF_T
SAMN02442769	contig_54	35095	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442769	contig_54	35095	No terminal repeats	F_traK	NA	NA	NA	MPF_F
SAMN02442769	contig_54	35095	No terminal repeats	F_traB	NA	NA	NA	MPF_F
SAMN02442769	contig_54	35095	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442769	contig_54	35095	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442769	contig_147	65438	No terminal repeats	F_traW	NA	NA	NA	MPF_F
SAMN02442769	contig_147	65438	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442769	contig_147	65438	No terminal repeats	F_trbC	NA	NA	NA	MPF_F
SAMN02442769	contig_85	1314	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442769	contig_73	10338	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442769	contig_193	8589	No terminal repeats	MOBF	MOBF	NA	NA	NA
SAMN02442769	contig_149	24540	DTR	T_virB2	NA	NA	NA	MPF_T
SAMN02442769	contig_149	24540	DTR	virb4	NA	virb4	NA	NA
SAMN02442769	contig_149	24540	DTR	T_virB6	NA	NA	NA	MPF_T
SAMN02442769	contig_149	24540	DTR	T_virB8	NA	NA	NA	MPF_T
SAMN02442769	contig_149	24540	DTR	T_virB9	NA	NA	NA	MPF_T
SAMN02442769	contig_149	24540	DTR	MOBC	MOBC	NA	NA	NA
SAMN02442769	contig_41	2342	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442769	contig_156	17740	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442769	contig_57	2315	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442771	contig_22	13155	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442771	contig_22	13155	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442771	contig_22	13155	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442771	contig_22	13155	No terminal repeats	F_traN	NA	NA	NA	MPF_F
SAMN02442771	contig_22	13155	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442771	contig_22	13155	No terminal repeats	F_traW	NA	NA	NA	MPF_F
SAMN02442771	contig_22	13155	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442771	contig_22	13155	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442771	contig_182	2605	No terminal repeats	F_traB	NA	NA	NA	MPF_F
SAMN02442771	contig_182	2605	No terminal repeats	F_traK	NA	NA	NA	MPF_F
SAMN02442771	contig_182	2605	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442771	contig_182	2605	No terminal repeats	F_traL	NA	NA	NA	MPF_F
SAMN02442771	contig_32	28943	No terminal repeats	I_traE	NA	NA	NA	MPF_I
SAMN02442771	contig_32	28943	No terminal repeats	I_traI	NA	NA	NA	MPF_I
SAMN02442771	contig_32	28943	No terminal repeats	I_traK	NA	NA	NA	MPF_I
SAMN02442771	contig_32	28943	No terminal repeats	I_traL	NA	NA	NA	MPF_I
SAMN02442771	contig_32	28943	No terminal repeats	I_traN	NA	NA	NA	MPF_I
SAMN02442771	contig_32	28943	No terminal repeats	I_traO	NA	NA	NA	MPF_I
SAMN02442771	contig_32	28943	No terminal repeats	I_traP	NA	NA	NA	MPF_I
SAMN02442771	contig_32	28943	No terminal repeats	I_traQ	NA	NA	NA	MPF_I
SAMN02442771	contig_32	28943	No terminal repeats	I_traR	NA	NA	NA	MPF_I
SAMN02442771	contig_32	28943	No terminal repeats	I_traT	NA	NA	NA	MPF_I
SAMN02442771	contig_32	28943	No terminal repeats	traU	NA	NA	NA	NA
SAMN02442771	contig_32	28943	No terminal repeats	I_traV	NA	NA	NA	MPF_I
SAMN02442771	contig_32	28943	No terminal repeats	I_traW	NA	NA	NA	MPF_I
SAMN02442771	contig_32	28943	No terminal repeats	I_traY	NA	NA	NA	MPF_I
SAMN02442771	contig_132	24182	No terminal repeats	I_trbA	NA	NA	NA	MPF_I
SAMN02442771	contig_132	24182	No terminal repeats	I_trbB	NA	NA	NA	MPF_I
SAMN02442771	contig_132	24182	No terminal repeats	MOBP1	MOBP1	NA	NA	NA
SAMN02442771	contig_169	2080	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442771	contig_135	35095	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442771	contig_135	35095	No terminal repeats	F_traK	NA	NA	NA	MPF_F
SAMN02442771	contig_135	35095	No terminal repeats	F_traB	NA	NA	NA	MPF_F
SAMN02442771	contig_135	35095	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442771	contig_135	35095	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442771	contig_171	93170	No terminal repeats	t4cp1	NA	NA	NA	NA
SAMN02442771	contig_171	93170	No terminal repeats	MOBH	MOBH	NA	NA	NA
SAMN02442771	contig_171	93170	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442771	contig_171	93170	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442771	contig_171	93170	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442771	contig_70	66683	No terminal repeats	F_traW	NA	NA	NA	MPF_F
SAMN02442771	contig_70	66683	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442771	contig_70	66683	No terminal repeats	F_trbC	NA	NA	NA	MPF_F
SAMN02442771	contig_142	1314	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442771	contig_130	10379	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442771	contig_100	8725	No terminal repeats	MOBF	MOBF	NA	NA	NA
SAMN02442771	contig_3	6941	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442771	contig_35	2342	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442771	contig_188	2315	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442772	contig_130	13155	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442772	contig_130	13155	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442772	contig_130	13155	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442772	contig_130	13155	No terminal repeats	F_traN	NA	NA	NA	MPF_F
SAMN02442772	contig_130	13155	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442772	contig_130	13155	No terminal repeats	F_traW	NA	NA	NA	MPF_F
SAMN02442772	contig_130	13155	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442772	contig_130	13155	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442772	contig_136	2605	No terminal repeats	F_traB	NA	NA	NA	MPF_F
SAMN02442772	contig_136	2605	No terminal repeats	F_traK	NA	NA	NA	MPF_F
SAMN02442772	contig_136	2605	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442772	contig_136	2605	No terminal repeats	F_traL	NA	NA	NA	MPF_F
SAMN02442772	contig_30	24182	No terminal repeats	I_trbA	NA	NA	NA	MPF_I
SAMN02442772	contig_30	24182	No terminal repeats	I_trbB	NA	NA	NA	MPF_I
SAMN02442772	contig_30	24182	No terminal repeats	MOBP1	MOBP1	NA	NA	NA
SAMN02442772	contig_141	2080	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442772	contig_123	93170	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442772	contig_123	93170	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442772	contig_123	93170	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442772	contig_123	93170	No terminal repeats	MOBH	MOBH	NA	NA	NA
SAMN02442772	contig_123	93170	No terminal repeats	t4cp1	NA	NA	NA	NA
SAMN02442772	contig_182	46956	No terminal repeats	I_traY	NA	NA	NA	MPF_I
SAMN02442772	contig_182	46956	No terminal repeats	I_traW	NA	NA	NA	MPF_I
SAMN02442772	contig_182	46956	No terminal repeats	I_traV	NA	NA	NA	MPF_I
SAMN02442772	contig_182	46956	No terminal repeats	traU	NA	NA	NA	NA
SAMN02442772	contig_182	46956	No terminal repeats	I_traT	NA	NA	NA	MPF_I
SAMN02442772	contig_182	46956	No terminal repeats	I_traR	NA	NA	NA	MPF_I
SAMN02442772	contig_182	46956	No terminal repeats	I_traQ	NA	NA	NA	MPF_I
SAMN02442772	contig_182	46956	No terminal repeats	I_traP	NA	NA	NA	MPF_I
SAMN02442772	contig_182	46956	No terminal repeats	I_traO	NA	NA	NA	MPF_I
SAMN02442772	contig_182	46956	No terminal repeats	I_traN	NA	NA	NA	MPF_I
SAMN02442772	contig_182	46956	No terminal repeats	I_traL	NA	NA	NA	MPF_I
SAMN02442772	contig_182	46956	No terminal repeats	I_traK	NA	NA	NA	MPF_I
SAMN02442772	contig_182	46956	No terminal repeats	I_traI	NA	NA	NA	MPF_I
SAMN02442772	contig_182	46956	No terminal repeats	I_traE	NA	NA	NA	MPF_I
SAMN02442772	contig_70	35095	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442772	contig_70	35095	No terminal repeats	F_traK	NA	NA	NA	MPF_F
SAMN02442772	contig_70	35095	No terminal repeats	F_traB	NA	NA	NA	MPF_F
SAMN02442772	contig_70	35095	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442772	contig_70	35095	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442772	contig_169	66683	No terminal repeats	F_traW	NA	NA	NA	MPF_F
SAMN02442772	contig_169	66683	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442772	contig_169	66683	No terminal repeats	F_trbC	NA	NA	NA	MPF_F
SAMN02442772	contig_149	1314	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442772	contig_134	10379	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442772	contig_40	8589	No terminal repeats	MOBF	MOBF	NA	NA	NA
SAMN02442772	contig_193	6920	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442772	contig_116	2342	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442772	contig_185	2315	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442773	contig_113	26770	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442773	contig_113	26770	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442773	contig_113	26770	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442773	contig_113	26770	No terminal repeats	F_traN	NA	NA	NA	MPF_F
SAMN02442773	contig_113	26770	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442773	contig_113	26770	No terminal repeats	F_traW	NA	NA	NA	MPF_F
SAMN02442773	contig_113	26770	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442773	contig_113	26770	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442773	contig_113	26770	No terminal repeats	F_traK	NA	NA	NA	MPF_F
SAMN02442773	contig_113	26770	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442773	contig_113	26770	No terminal repeats	F_traL	NA	NA	NA	MPF_F
SAMN02442773	contig_25	13487	No terminal repeats	MOBF	MOBF	NA	NA	NA
SAMN02442773	contig_146	91459	No terminal repeats	T_virB9	NA	NA	NA	MPF_T
SAMN02442775	contig_142	26770	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442775	contig_142	26770	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442775	contig_142	26770	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442775	contig_142	26770	No terminal repeats	F_traN	NA	NA	NA	MPF_F
SAMN02442775	contig_142	26770	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442775	contig_142	26770	No terminal repeats	F_traW	NA	NA	NA	MPF_F
SAMN02442775	contig_142	26770	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442775	contig_142	26770	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442775	contig_142	26770	No terminal repeats	F_traK	NA	NA	NA	MPF_F
SAMN02442775	contig_142	26770	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442775	contig_142	26770	No terminal repeats	F_traL	NA	NA	NA	MPF_F
SAMN02442775	contig_46	13487	No terminal repeats	MOBF	MOBF	NA	NA	NA
SAMN02442775	contig_49	31420	No terminal repeats	T_virB9	NA	NA	NA	MPF_T
SAMN02442780	contig_81	62873	No terminal repeats	MOBF	MOBF	NA	NA	NA
SAMN02442780	contig_81	62873	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442780	contig_81	62873	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442780	contig_81	62873	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442780	contig_81	62873	No terminal repeats	F_traN	NA	NA	NA	MPF_F
SAMN02442780	contig_81	62873	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442780	contig_81	62873	No terminal repeats	F_traW	NA	NA	NA	MPF_F
SAMN02442780	contig_81	62873	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442780	contig_81	62873	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442780	contig_81	62873	No terminal repeats	F_traK	NA	NA	NA	MPF_F
SAMN02442780	contig_81	62873	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442780	contig_81	62873	No terminal repeats	F_traL	NA	NA	NA	MPF_F
SAMN02442780	contig_33	21990	No terminal repeats	traU	NA	NA	NA	NA
SAMN02442780	contig_33	21990	No terminal repeats	I_traV	NA	NA	NA	MPF_I
SAMN02442780	contig_33	21990	No terminal repeats	I_traW	NA	NA	NA	MPF_I
SAMN02442780	contig_33	21990	No terminal repeats	I_traY	NA	NA	NA	MPF_I
SAMN02442780	contig_33	21990	No terminal repeats	I_trbA	NA	NA	NA	MPF_I
SAMN02442780	contig_33	21990	No terminal repeats	I_trbB	NA	NA	NA	MPF_I
SAMN02442780	contig_33	21990	No terminal repeats	MOBP1	MOBP1	NA	NA	NA
SAMN02442780	contig_46	21432	No terminal repeats	traU	NA	NA	NA	NA
SAMN02442780	contig_46	21432	No terminal repeats	I_traT	NA	NA	NA	MPF_I
SAMN02442780	contig_46	21432	No terminal repeats	I_traR	NA	NA	NA	MPF_I
SAMN02442780	contig_46	21432	No terminal repeats	I_traQ	NA	NA	NA	MPF_I
SAMN02442780	contig_46	21432	No terminal repeats	I_traP	NA	NA	NA	MPF_I
SAMN02442780	contig_46	21432	No terminal repeats	I_traO	NA	NA	NA	MPF_I
SAMN02442780	contig_46	21432	No terminal repeats	I_traN	NA	NA	NA	MPF_I
SAMN02442780	contig_46	21432	No terminal repeats	I_traL	NA	NA	NA	MPF_I
SAMN02442780	contig_46	21432	No terminal repeats	I_traK	NA	NA	NA	MPF_I
SAMN02442780	contig_46	21432	No terminal repeats	I_traI	NA	NA	NA	MPF_I
SAMN02442780	contig_46	21432	No terminal repeats	I_traE	NA	NA	NA	MPF_I
SAMN02442780	contig_66	26090	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442781	contig_121	62873	No terminal repeats	MOBF	MOBF	NA	NA	NA
SAMN02442781	contig_121	62873	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442781	contig_121	62873	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442781	contig_121	62873	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442781	contig_121	62873	No terminal repeats	F_traN	NA	NA	NA	MPF_F
SAMN02442781	contig_121	62873	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442781	contig_121	62873	No terminal repeats	F_traW	NA	NA	NA	MPF_F
SAMN02442781	contig_121	62873	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442781	contig_121	62873	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442781	contig_121	62873	No terminal repeats	F_traK	NA	NA	NA	MPF_F
SAMN02442781	contig_121	62873	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442781	contig_121	62873	No terminal repeats	F_traL	NA	NA	NA	MPF_F
SAMN02442781	contig_9	21433	No terminal repeats	traU	NA	NA	NA	NA
SAMN02442781	contig_9	21433	No terminal repeats	I_traT	NA	NA	NA	MPF_I
SAMN02442781	contig_9	21433	No terminal repeats	I_traR	NA	NA	NA	MPF_I
SAMN02442781	contig_9	21433	No terminal repeats	I_traQ	NA	NA	NA	MPF_I
SAMN02442781	contig_9	21433	No terminal repeats	I_traP	NA	NA	NA	MPF_I
SAMN02442781	contig_9	21433	No terminal repeats	I_traO	NA	NA	NA	MPF_I
SAMN02442781	contig_9	21433	No terminal repeats	I_traN	NA	NA	NA	MPF_I
SAMN02442781	contig_9	21433	No terminal repeats	I_traL	NA	NA	NA	MPF_I
SAMN02442781	contig_9	21433	No terminal repeats	I_traK	NA	NA	NA	MPF_I
SAMN02442781	contig_9	21433	No terminal repeats	I_traI	NA	NA	NA	MPF_I
SAMN02442781	contig_9	21433	No terminal repeats	I_traE	NA	NA	NA	MPF_I
SAMN02442781	contig_134	89005	No terminal repeats	MOBP1	MOBP1	NA	NA	NA
SAMN02442781	contig_134	89005	No terminal repeats	I_trbB	NA	NA	NA	MPF_I
SAMN02442781	contig_134	89005	No terminal repeats	I_trbA	NA	NA	NA	MPF_I
SAMN02442781	contig_134	89005	No terminal repeats	I_traY	NA	NA	NA	MPF_I
SAMN02442781	contig_134	89005	No terminal repeats	I_traW	NA	NA	NA	MPF_I
SAMN02442781	contig_134	89005	No terminal repeats	I_traV	NA	NA	NA	MPF_I
SAMN02442781	contig_134	89005	No terminal repeats	traU	NA	NA	NA	NA
SAMN02442781	contig_100	26090	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442783	contig_19	62873	No terminal repeats	MOBF	MOBF	NA	NA	NA
SAMN02442783	contig_19	62873	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442783	contig_19	62873	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442783	contig_19	62873	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442783	contig_19	62873	No terminal repeats	F_traN	NA	NA	NA	MPF_F
SAMN02442783	contig_19	62873	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442783	contig_19	62873	No terminal repeats	F_traW	NA	NA	NA	MPF_F
